% Base Parameters: Dims = 100, predfreq = .001, huntsteps = 1, hetfreq = .1, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, basevig = .001, vigilance = false, vigprop = 0, indvprop = .5, mutrate = .001, fthresh = 25, fleeforage = 0, stayforage = .1, localbirth = false, minlifespan = 125, lifespanrange = 50, learnalg = b, lrate = .01, 

% Test Parameters:
%predfreq = [.001, .01, .1]
%huntsteps = [1, 10, 100, 100000]
%fleeforage = [0, .5, 1]
%stayforage = [.1, .5, 1]
% 	Parameters				Results
Seed	predfreq	huntsteps	fleeforage	stayforage	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	VigPredCost	IndPredCost	SocPredCost	VigForageCost	IndForageCost	SocForageCost	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
1	.001	1	0	.1	NaN	-Infinity	-Infinity	NaN	Infinity	Infinity	0.0	0.020959700164036737	0.00510662177328844	0.0	363.91677478792485	356.1904367973086	1.6750418760469013E-4	4.020100502512563E-4	0.011758793969849246	0.0	0.0	0.0	
2	.001	1	0	.1	NaN	-Infinity	Infinity	NaN	-Infinity	-Infinity	0.0	0.004441823899371069	0.029026374055890383	0.0	430.20454671158546	354.96529102920186	3.0150753768844223E-4	4.020100502512563E-4	0.0111892797319933	0.0	0.0	0.0	
3	.001	1	0	.1	NaN	-Infinity	-Infinity	NaN	-Infinity	Infinity	0.0	0.0	0.03280812374825841	0.0	339.2593989497594	331.82548653948686	1.340033500837521E-4	5.695142378559464E-4	0.02137353433835846	0.0	0.0	0.0	
4	.001	1	0	.1	NaN	-Infinity	Infinity	NaN	-Infinity	-Infinity	0.0	0.07895559724828018	0.022600615140011503	0.0	348.4492875961866	373.47631550145593	2.680067001675042E-4	5.025125628140704E-4	0.009581239530988274	0.0	0.0	0.0	
5	.001	1	0	.1	NaN	NaN	-Infinity	NaN	Infinity	-Infinity	0.0	0.009984007079857641	0.010833785494664495	0.0	359.8963272905057	274.94892744709176	2.0100502512562814E-4	2.680067001675042E-4	0.011758793969849246	0.0	0.0	0.0	
6	.001	1	0	.1	NaN	-Infinity	Infinity	NaN	NaN	Infinity	0.0	0.13247863247863248	0.002150537634408602	0.0	298.6458229320725	257.3897757825159	1.0050251256281407E-4	5.025125628140704E-4	0.018190954773869346	0.0	0.0	0.0	
7	.001	1	0	.1	NaN	Infinity	Infinity	NaN	-Infinity	-Infinity	0.0	0.007001021215876124	0.01430610635407053	0.0	358.9043877867357	316.09791377319596	2.0100502512562814E-4	3.6850921273031827E-4	0.01169179229480737	0.0	0.0	0.0	
8	.001	1	0	.1	NaN	-Infinity	Infinity	NaN	-Infinity	Infinity	0.0	0.012964254376249299	0.0043375098473196535	0.0	305.8485847509888	457.4663333448058	2.3450586264656616E-4	2.680067001675042E-4	0.00864321608040201	0.0	0.0	0.0	
9	.001	1	0	.1	NaN	Infinity	Infinity	NaN	-Infinity	Infinity	0.0	0.0041419230356951435	0.0067012855968742995	0.0	376.1142130380074	492.2910977099366	1.6750418760469013E-4	5.025125628140704E-4	0.01541038525963149	0.0	0.0	0.0	
10	.001	1	0	.1	NaN	NaN	Infinity	NaN	Infinity	Infinity	0.0	0.012825266659717031	0.013787416773530303	0.0	405.13581518026007	356.77855946260695	2.680067001675042E-4	5.360134003350084E-4	0.008710217755443886	0.0	0.0	0.0	
1	.001	1	0	.5	NaN	0.4968347389382893	0.4999999999999994	NaN	0.9883869888105938	0.979863860596747	0.0	1.594787564047103	1.6006410451779705	0.0	14897.883712139534	15217.103897276216	0.052998324958123955	7.976917922948074	3.4020100502512562	0.0	929.0	70.0	
2	.001	1	0	.5	NaN	0.4952079401630971	0.506291547958213	NaN	0.9871868335833157	0.9681679607911648	0.0	1.4337457936433302	2.041089776436609	0.0	14898.986208587703	15204.708991410773	0.04800670016750419	7.963417085427135	2.95963149078727	0.0	892.0	108.0	
