% Base Parameters: Dims = 100, predfreq = .001, huntsteps = 1, hetfreq = .1, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, basevig = .001, vigilance = false, vigprop = 0, indvprop = .5, mutrate = .001, fthresh = 25, fleeforage = 0, stayforage = .1, localbirth = false, minlifespan = 125, lifespanrange = 50, learnalg = r, lrate = .01, 

% Test Parameters:
%predfreq = [.001, .01, .1]
%huntsteps = [1, 10, 100, 100000]
%fleeforage = [0, .5, 1]
%stayforage = [.1, .5, 1]
% 	Parameters				Results
Seed	predfreq	huntsteps	fleeforage	stayforage	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	VigPredCost	IndPredCost	SocPredCost	VigForageCost	IndForageCost	SocForageCost	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
1	.001	1	0	.1	NaN	-Infinity	-Infinity	NaN	Infinity	-Infinity	0.0	0.002036659877800407	0.022647633402550063	0.0	254.47391173491272	259.9135958971336	1.340033500837521E-4	0.0	0.0045561139028475715	0.0	0.0	0.0	
2	.001	1	0	.1	NaN	-Infinity	Infinity	NaN	Infinity	Infinity	0.0	0.0060136188366560015	0.12999597747823807	0.0	389.69369490385293	254.71155615149854	2.680067001675042E-4	6.700167504187605E-5	0.016013400335008376	0.0	0.0	0.0	
3	.001	1	0	.1	NaN	Infinity	-Infinity	NaN	-Infinity	Infinity	0.0	0.01585444417404766	0.009501649380894761	0.0	265.32047056925796	247.0222042534661	3.3500837520938025E-4	3.3500837520938026E-5	0.01829145728643216	0.0	0.0	0.0	
4	.001	1	0	.1	NaN	-Infinity	-Infinity	NaN	-Infinity	Infinity	0.0	0.009523646001239536	0.012523656502899267	0.0	389.5579796432065	251.63365966161774	3.3500837520938025E-4	6.700167504187605E-5	0.011222780569514238	0.0	0.0	0.0	
5	.001	1	0	.1	NaN	Infinity	-Infinity	NaN	-Infinity	-Infinity	0.0	0.008420944953452695	0.013730870982457354	0.0	333.4758096782292	237.06474558632007	3.0150753768844223E-4	3.3500837520938026E-5	0.008040201005025126	0.0	0.0	0.0	
6	.001	1	0	.1	NaN	-Infinity	-Infinity	NaN	Infinity	Infinity	0.0	0.013746579623943763	0.018192488700974525	0.0	315.83223084195106	361.46480255237117	4.020100502512563E-4	1.340033500837521E-4	0.010921273031825796	0.0	0.0	0.0	
7	.001	1	0	.1	NaN	-Infinity	Infinity	NaN	-Infinity	-Infinity	0.0	0.01929253474180752	0.026120504007886	0.0	303.9004492095312	243.9914122951541	5.025125628140704E-4	3.3500837520938026E-5	0.016850921273031824	0.0	0.0	0.0	
8	.001	1	0	.1	NaN	-Infinity	-Infinity	NaN	-Infinity	Infinity	0.0	0.018197181548328178	0.01311300326013847	0.0	425.9210073791581	231.37107728321624	4.020100502512563E-4	6.700167504187605E-5	0.0025795644891122276	0.0	0.0	0.0	
9	.001	1	0	.1	NaN	-Infinity	-Infinity	NaN	-Infinity	-Infinity	0.0	0.00273224043715847	0.010466627896189204	0.0	257.06227731794263	260.3035529086918	2.0100502512562814E-4	3.3500837520938026E-5	0.019028475711892798	0.0	0.0	0.0	
10	.001	1	0	.1	NaN	Infinity	Infinity	NaN	-Infinity	-Infinity	0.0	0.0	0.013404835918397476	0.0	325.09061777554155	262.77830587156814	2.0100502512562814E-4	3.3500837520938026E-5	0.019396984924623117	0.0	0.0	0.0	
