% Base Parameters: Dims = 100, predfreq = .001, huntsteps = 1, hetfreq = .1, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, basevig = .001, vigilance = false, vigprop = 0, indvprop = .5, mutrate = .001, fthresh = 25, fleeforage = 0, stayforage = .1, localbirth = true, minlifespan = 125, lifespanrange = 50, learnalg = b, lrate = .01, 

% Test Parameters:
%predfreq = [.001, .01, .1]
%huntsteps = [1, 10, 100, 100000]
%fleeforage = [0, .5, 1]
%stayforage = [.1, .5, 1]
% 	Parameters				Results
Seed	predfreq	huntsteps	fleeforage	stayforage	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	VigPredCost	IndPredCost	SocPredCost	VigForageCost	IndForageCost	SocForageCost	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
1	.001	1	0	.1	NaN	-Infinity	-Infinity	NaN	NaN	Infinity	0.0	0.004566257541085916	0.00510662177328844	0.0	343.17755387261934	405.52665958792323	1.340033500837521E-4	3.6850921273031827E-4	0.010753768844221105	0.0	0.0	0.0	
2	.001	1	0	.1	NaN	-Infinity	-Infinity	NaN	-Infinity	-Infinity	0.0	0.004441823899371069	0.014101000921562024	0.0	358.5137313311014	324.93506144204065	2.680067001675042E-4	5.360134003350084E-4	0.01135678391959799	0.0	0.0	0.0	
3	.001	1	0	.1	NaN	-Infinity	-Infinity	NaN	-Infinity	Infinity	0.0	0.0	0.004259263445843601	0.0	356.63455465556984	397.6383634095921	6.700167504187605E-5	4.020100502512563E-4	0.0233500837520938	0.0	0.0	0.0	
4	.001	1	0	.1	NaN	-Infinity	Infinity	NaN	Infinity	-Infinity	0.0	0.0020325203252032522	0.022600615140011503	0.0	384.84724427905684	247.70145220840834	2.3450586264656616E-4	4.6901172529313233E-4	0.009581239530988274	0.0	0.0	0.0	
5	.001	1	0	.1	NaN	NaN	-Infinity	NaN	Infinity	-Infinity	0.0	0.009984007079857641	0.013966617574864996	0.0	352.5268264408973	263.24268747970063	2.0100502512562814E-4	4.6901172529313233E-4	0.011758793969849246	0.0	0.0	0.0	
6	.001	1	0	.1	NaN	-Infinity	Infinity	NaN	Infinity	Infinity	0.0	0.0	0.00561074524686535	0.0	320.66246082057205	243.22838830993018	6.700167504187605E-5	2.3450586264656616E-4	0.015979899497487435	0.0	0.0	0.0	
7	.001	1	0	.1	NaN	Infinity	Infinity	NaN	-Infinity	-Infinity	0.0	0.007001021215876124	0.009231365502175713	0.0	412.5912282117874	242.91711613639282	1.6750418760469013E-4	3.3500837520938025E-4	0.01169179229480737	0.0	0.0	0.0	
8	.001	1	0	.1	NaN	-Infinity	Infinity	NaN	-Infinity	Infinity	0.0	0.03219502360701853	0.01624227175208156	0.0	404.6960702957089	350.5726413767785	3.0150753768844223E-4	3.3500837520938025E-4	0.00864321608040201	0.0	0.0	0.0	
9	.001	1	0	.1	NaN	Infinity	Infinity	NaN	-Infinity	Infinity	0.0	0.0041419230356951435	0.0067012855968742995	0.0	334.84678608425827	256.4090709781186	1.6750418760469013E-4	3.0150753768844223E-4	0.014874371859296482	0.0	0.0	0.0	
10	.001	1	0	.1	NaN	NaN	Infinity	NaN	Infinity	Infinity	0.0	0.031007084841535214	0.004172032158145687	0.0	403.10455739076235	468.18562400814426	2.680067001675042E-4	4.6901172529313233E-4	0.008710217755443886	0.0	0.0	0.0	
