% Base Parameters: Dims = 100, predfreq = .001, huntsteps = 1, hetfreq = .1, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, basevig = .001, vigilance = false, vigprop = 0, indvprop = .5, mutrate = .001, fthresh = 25, fleeforage = 0, stayforage = .1, localbirth = true, minlifespan = 125, lifespanrange = 50, learnalg = n, lrate = .01, 

% Test Parameters:
%predfreq = [.001, .01, .1]
%huntsteps = [1, 10, 100, 100000]
%fleeforage = [0, .5, 1]
%stayforage = [.1, .5, 1]
% 	Parameters				Results
Seed	predfreq	huntsteps	fleeforage	stayforage	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	VigPredCost	IndPredCost	SocPredCost	VigForageCost	IndForageCost	SocForageCost	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
1	.001	1	0	.1	NaN	NaN	NaN	NaN	-Infinity	Infinity	0.0	0.012667395916006872	0.010868576109048437	0.0	286.6658819255156	227.40278146966298	3.0150753768844223E-4	3.3500837520938026E-5	0.0	0.0	0.0	0.0	
2	.001	1	0	.1	NaN	Infinity	Infinity	NaN	-Infinity	-Infinity	0.0	0.014071312079876252	0.006381865908606236	0.0	351.1038711169884	278.08222279248776	3.0150753768844223E-4	1.0050251256281407E-4	0.007604690117252931	0.0	0.0	0.0	
3	.001	1	0	.1	NaN	Infinity	-Infinity	NaN	Infinity	-Infinity	0.0	0.017935309127301857	0.01383946498417819	0.0	404.4038711720846	226.09124279431268	4.355108877721943E-4	6.700167504187605E-5	0.018391959798994974	0.0	0.0	0.0	
4	.001	1	0	.1	NaN	NaN	-Infinity	NaN	Infinity	-Infinity	0.0	0.0048449157711979735	0.008486771969502734	0.0	239.4245926989956	231.75119864123974	2.0100502512562814E-4	0.0	3.3500837520938025E-4	0.0	0.0	0.0	
5	.001	1	0	.1	NaN	Infinity	-Infinity	NaN	Infinity	Infinity	0.0	0.00823389669025382	0.013433500562529656	0.0	246.35165570850364	236.53003223506593	3.0150753768844223E-4	0.0	0.009011725293132329	0.0	0.0	0.0	
6	.001	1	0	.1	NaN	-Infinity	Infinity	NaN	Infinity	Infinity	0.0	0.002070393374741201	0.016376337995018916	0.0	242.87251810150153	239.72024958287605	2.3450586264656616E-4	0.0	0.004589614740368509	0.0	0.0	0.0	
7	.001	1	0	.1	NaN	-Infinity	Infinity	NaN	Infinity	-Infinity	0.0	0.029845478758050156	0.011327195871331299	0.0	239.7454478213426	251.50692416633984	3.6850921273031827E-4	0.0	0.01742043551088777	0.0	0.0	0.0	
8	.001	1	0	.1	NaN	-Infinity	-Infinity	NaN	Infinity	-Infinity	0.0	0.045070797602443174	0.0020242914979757085	0.0	271.7263479580125	254.49202802896693	1.6750418760469013E-4	0.0	0.008743718592964824	0.0	0.0	0.0	
9	.001	1	0	.1	NaN	-Infinity	Infinity	NaN	-Infinity	-Infinity	0.0	0.016038419294960644	0.009153698769739852	0.0	390.526136832588	277.7532630431334	2.680067001675042E-4	6.700167504187605E-5	0.001206030150753769	0.0	0.0	0.0	
10	.001	1	0	.1	NaN	-Infinity	Infinity	NaN	-Infinity	-Infinity	0.0	0.007401487019027808	0.004081700653072105	0.0	407.67891011321046	241.56048732907425	1.6750418760469013E-4	3.3500837520938026E-5	0.0018090452261306533	0.0	0.0	0.0	
1	.001	1	0	.5	NaN	0.4993202779952954	0.5000000000000043	NaN	0.7125346906210603	0.4579452520113323	0.0	0.6593209332187239	0.03798123186713513	0.0	19122.027057677737	18799.159480619008	0.022010050251256283	7.911591289782245	1.0831155778894472	0.0	996.0	3.0	
2	.001	1	0	.5	NaN	0.49938791829510887	0.5000000000000178	NaN	0.7103006381069649	0.3798482159317652	0.0	0.7574261431152912	0.9145900275195282	0.0	19131.607717875282	18641.88584253179	0.02542713567839196	7.9278726968174205	1.5266331658291457	0.0	997.0	1.0	
3	.001	1	0	.5	NaN	0.4985508143061153	0.5000000000000329	NaN	0.7060240321425819	0.5424470325493616	0.0	1.1645263507122052	1.6462342459066406	0.0	19131.610075303393	19136.256524830278	0.03865996649916248	7.918659966499162	2.482680067001675	0.0	992.0	2.0	
4	.001	1	0	.5	NaN	0.4990206039141669	0.5000000000000249	NaN	0.7034529018527055	0.3257738244993005	0.0	1.039800768021388	0.6357001047745537	0.0	19130.178010994918	18100.762695697995	0.034706867671691795	7.932931323283082	1.7564154103852596	0.0	993.0	1.0	
5	.001	1	0	.5	NaN	0.49969641330633024	0.5000000000000115	NaN	0.7053288658166645	0.34346636148846127	0.0	1.241167100880111	0.50860833378392	0.0	19130.94893725476	18202.29739271471	0.041373534338358456	7.930686767169179	2.147939698492462	0.0	996.0	2.0	
6	.001	1	0	.5	NaN	0.4997643079202063	0.5000000000000044	NaN	0.7058514018612804	0.37618732415509587	0.0	0.858355711289841	0.5379790984917459	0.0	19132.372708781393	17502.315338952234	0.02864321608040201	7.924891122278057	1.8297487437185929	0.0	994.0	1.0	
7	.001	1	0	.5	NaN	0.49998167421724565	0.5000000000000213	NaN	0.7076344230718327	0.5401981496221033	0.0	1.1551072835471696	0.7281116778753505	0.0	19132.22127967727	19972.724522150256	0.03869346733668342	7.925628140703518	2.336113902847571	0.0	996.0	2.0	
8	.001	1	0	.5	NaN	0.5000367822973628	-Infinity	NaN	0.7074833809852225	Infinity	0.0	1.0307733053483563	1.3667569625462235	0.0	19131.79540190354	19313.456726830773	0.034204355108877725	7.921574539363484	1.9114907872696818	0.0	1000.0	0.0	
9	.001	1	0	.5	NaN	0.5000343443371635	0.5000000000000056	NaN	0.7060827859738821	0.5791900043850665	0.0	1.1172596590291808	0.861781996077543	0.0	19132.596004762443	19721.065423504628	0.03738693467336683	7.92	1.993433835845896	0.0	996.0	4.0	
10	.001	1	0	.5	NaN	0.49959063495363	0.500000000000003	NaN	0.7106917855337318	0.5263785316040878	0.0	1.0325892728961037	0.2631889089982903	0.0	19139.76649455824	18120.83131040921	0.03430485762144054	7.923082077051927	1.798324958123953	0.0	996.0	3.0	
1	.001	1	0	1	NaN	0.4995868782981119	0.500000000000012	NaN	0.7155333701878693	0.42316117463577063	0.0	1.3104406121949452	1.286149358078394	0.0	8657.458592921728	12801.890430855676	0.043986599664991625	7.955443886097153	2.394606365159129	0.0	998.0	2.0	
2	.001	1	0	1	NaN	0.49996166099588807	Infinity	NaN	0.7050640443794078	-Infinity	0.0	1.1208469015734261	0.39724533786634886	0.0	8651.5704138051	11830.867120439822	0.03765494137353434	7.964589614740368	2.0662981574539363	0.0	1000.0	0.0	
3	.001	1	0	1	NaN	0.49999999999999994	0.5040047020198004	NaN	0.7032206691230578	0.4793131851853668	0.0	1.0538768039634776	0.8441682858773927	0.0	8654.328933609813	13319.54478635305	0.035443886097152426	7.965929648241206	2.1889447236180906	0.0	995.0	5.0	
4	.001	1	0	1	NaN	0.4982370590915045	0.4999999999999989	NaN	0.7067265690062772	0.4685677098747345	0.0	1.146897408970164	1.783633786361833	0.0	8655.000906624171	12207.842887600596	0.038592964824120606	7.958023450586265	2.594003350083752	0.0	996.0	4.0	
5	.001	1	0	1	NaN	0.5000000000000007	0.5	NaN	0.7055172167780258	0.2867409242986633	0.0	1.0527881215126478	0.04565552663951593	0.0	8647.529311713444	12746.500939284486	0.03530988274706868	7.961909547738694	1.6539363484087102	0.0	999.0	1.0	
6	.001	1	0	1	NaN	0.4994566518234727	0.49999999999999467	NaN	0.706779561181233	0.40093345535719327	0.0	1.1242988170990058	0.8368661093510634	0.0	8655.080303392882	13236.231096610452	0.03765494137353434	7.970519262981575	2.2104522613065325	0.0	996.0	2.0	
7	.001	1	0	1	NaN	0.5000000000000002	0.5000000000000058	NaN	0.7128993646500873	0.40555964538388467	0.0	0.7868568935368704	0.3059884533803657	0.0	8644.390056361444	12951.38902299642	0.026499162479061977	7.956917922948073	1.6244891122278058	0.0	995.0	4.0	
8	.001	1	0	1	NaN	0.5000841789025667	0.4999999999998721	NaN	0.7102513095267661	0.3881532587674235	0.0	1.0614002938443325	0.31710057682588	0.0	8654.340607420114	12697.426499420448	0.035510887772194306	7.964489112227806	2.1575879396984923	0.0	998.0	1.0	
9	.001	1	0	1	NaN	0.49989766859726703	0.49999999999999467	NaN	0.703237177289351	0.2897084191860259	0.0	1.2126099862922053	1.5367363089965396	0.0	8663.35284983255	13077.390467588459	0.04073701842546064	7.974941373534338	2.2060971524288107	0.0	999.0	1.0	
10	.001	1	0	1	NaN	0.499233321661761	0.5000000000000209	NaN	0.7029418526662886	0.5179698599871093	0.0	1.0517626465596468	0.5926614345148037	0.0	8653.655764618565	13309.732377645378	0.035477386934673366	7.961273031825796	1.8274706867671693	0.0	998.0	2.0	
1	.001	1	.5	.1	NaN	0.5000000000000038	0.5001411445344445	NaN	0.73869012794005	0.3102507313976636	0.0	0.008613686189888312	1.2788897176829432	0.0	15371.247126862552	18588.682508048372	0.042445561139028476	7.908777219430486	2.100134003350084	0.0	4.0	993.0	
2	.001	1	.5	.1	NaN	-Infinity	0.4999999999999982	NaN	Infinity	0.3239407252236585	0.0	0.5213609743147636	1.366234780799983	0.0	19536.449715037463	18593.59945338077	0.04509212730318258	7.924891122278057	2.7296147403685094	0.0	0.0	993.0	
3	.001	1	.5	.1	NaN	0.5000000000000284	0.5000599933325519	NaN	0.7129480479418818	0.31447779541295096	0.0	0.8942818188844308	1.1098717134208445	0.0	18183.79128307326	18610.21974010607	0.036180904522613064	7.844489112227806	2.39463986599665	0.0	2.0	993.0	
4	.001	1	.5	.1	NaN	0.4999999999999834	0.49994392134038773	NaN	0.617835061888438	0.30991627731924787	0.0	1.398415331836128	1.5888096946031642	0.0	18941.003192130225	18610.035932825413	0.05279731993299833	7.913802345058627	3.445896147403685	0.0	3.0	997.0	
5	.001	1	.5	.1	NaN	0.499999999999996	0.5000000000000003	NaN	0.4347066316422443	0.31393050045810705	0.0	4.08150729912277	2.3279378351441804	0.0	17717.293116003864	18616.812665250545	0.07755443886097152	7.902948073701842	3.2607370184254605	0.0	1.0	992.0	
6	.001	1	.5	.1	NaN	0.5000000000000027	0.5000000000000031	NaN	0.7617430805712433	0.3077654890700878	0.0	1.092255885419451	1.7464342552241423	0.0	17739.034705857648	18626.288810094815	0.05819095477386935	7.884321608040201	3.7845561139028474	0.0	1.0	999.0	
7	.001	1	.5	.1	NaN	0.4999999999999849	0.5016360420221738	NaN	0.8199895157984187	0.3111263271003064	0.0	0.9027069620643196	1.2610578700308612	0.0	18660.01761333955	18605.697161006792	0.04184254606365159	7.908006700167504	2.808844221105528	0.0	1.0	998.0	
8	.001	1	.5	.1	NaN	0.499999999999996	0.5000000000000001	NaN	0.6035280808264141	0.3090930934475857	0.0	0.009558527371337699	0.6276779277563818	0.0	16814.876015532176	18607.119032226718	0.020402010050251256	7.899128978224455	1.334103852596315	0.0	1.0	999.0	
