% Base Parameters: Dims = 100, predfreq = .001, huntsteps = 1, hetfreq = .1, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, basevig = .001, vigilance = false, vigprop = 0, indvprop = .5, mutrate = .001, fthresh = 25, fleeforage = 0, stayforage = .1, localbirth = true, minlifespan = 125, lifespanrange = 50, learnalg = r, lrate = .01, 

% Test Parameters:
%predfreq = [.001, .01, .1]
%huntsteps = [1, 10, 100, 100000]
%fleeforage = [0, .5, 1]
%stayforage = [.1, .5, 1]
% 	Parameters				Results
Seed	predfreq	huntsteps	fleeforage	stayforage	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	VigPredCost	IndPredCost	SocPredCost	VigForageCost	IndForageCost	SocForageCost	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
1	.001	1	0	.1	NaN	-Infinity	-Infinity	NaN	Infinity	-Infinity	0.0	0.002036659877800407	0.022647633402550063	0.0	254.47391173491272	259.9135958971336	1.340033500837521E-4	0.0	0.0045561139028475715	0.0	0.0	0.0	
2	.001	1	0	.1	NaN	-Infinity	Infinity	NaN	Infinity	Infinity	0.0	0.0060136188366560015	0.01888486636712697	0.0	375.86131911335843	256.11774626974784	2.3450586264656616E-4	1.6750418760469013E-4	0.016013400335008376	0.0	0.0	0.0	
3	.001	1	0	.1	NaN	Infinity	-Infinity	NaN	-Infinity	Infinity	0.0	0.01585444417404766	0.009501649380894761	0.0	280.73172256265434	246.42413733725226	3.3500837520938025E-4	3.3500837520938026E-5	0.01829145728643216	0.0	0.0	0.0	
4	.001	1	0	.1	NaN	-Infinity	-Infinity	NaN	-Infinity	Infinity	0.0	0.009523646001239536	0.012523656502899267	0.0	353.9346050216123	250.58221111016928	3.3500837520938025E-4	6.700167504187605E-5	0.011222780569514238	0.0	0.0	0.0	
5	.001	1	0	.1	NaN	Infinity	-Infinity	NaN	-Infinity	-Infinity	0.0	0.008420944953452695	0.013730870982457354	0.0	255.05914301156255	238.06474558632007	3.0150753768844223E-4	3.3500837520938026E-5	0.008040201005025126	0.0	0.0	0.0	
6	.001	1	0	.1	NaN	-Infinity	-Infinity	NaN	Infinity	Infinity	0.0	0.040773606650970795	0.018192488700974525	0.0	244.47250192773933	246.9328985620855	4.355108877721943E-4	3.3500837520938026E-5	0.010921273031825796	0.0	0.0	0.0	
7	.001	1	0	.1	NaN	-Infinity	Infinity	NaN	-Infinity	-Infinity	0.0	0.01929253474180752	0.026120504007886	0.0	330.7355567920067	243.9433451456974	5.025125628140704E-4	3.3500837520938026E-5	0.016850921273031824	0.0	0.0	0.0	
8	.001	1	0	.1	NaN	-Infinity	-Infinity	NaN	-Infinity	Infinity	0.0	0.018197181548328178	0.01311300326013847	0.0	341.70306698621766	232.80624726029808	4.020100502512563E-4	3.3500837520938026E-5	0.0025795644891122276	0.0	0.0	0.0	
9	.001	1	0	.1	NaN	-Infinity	-Infinity	NaN	-Infinity	-Infinity	0.0	0.00273224043715847	0.010466627896189204	0.0	323.06254220426325	258.20035900986556	2.0100502512562814E-4	6.700167504187605E-5	0.019028475711892798	0.0	0.0	0.0	
10	.001	1	0	.1	NaN	Infinity	Infinity	NaN	-Infinity	-Infinity	0.0	0.0	0.013404835918397476	0.0	282.82773840718676	257.7783808825569	2.0100502512562814E-4	3.3500837520938026E-5	0.019396984924623117	0.0	0.0	0.0	
1	.001	1	0	.5	NaN	0.49928101865451974	0.5000000000000042	NaN	0.7266964187922771	0.45631505597218036	0.0	0.8189031525209823	1.1420811100433268	0.0	18852.724380893058	18417.64589800857	0.027403685092127303	7.918157453936349	1.6473701842546065	0.0	987.0	5.0	
2	.001	1	0	.5	NaN	0.4997133911699082	-Infinity	NaN	0.7249212846081665	Infinity	0.0	1.0373791344792287	1.4844683839801018	0.0	18855.086628720306	18807.177211295057	0.03480737018425461	7.928877721943048	2.007169179229481	0.0	984.0	0.0	
3	.001	1	0	.5	NaN	0.4999131313298475	0.499999999999992	NaN	0.7269140710050411	0.42837061615957667	0.0	0.917873986731583	3.3778452252006135	0.0	18856.403749053796	18065.301929808116	0.030753768844221107	7.927236180904522	1.631323283082077	0.0	997.0	2.0	
4	.001	1	0	.5	NaN	0.4997733542077365	0.49999999999999606	NaN	0.729884482797236	0.5188834503171815	0.0	0.6122863509631906	0.46229816689540626	0.0	18851.119179912494	17192.858035827478	0.020837520938023452	7.919597989949748	1.2003685092127303	0.0	992.0	3.0	
5	.001	1	0	.5	NaN	0.49919871124256293	0.5000000000000094	NaN	0.728080820930757	0.4760475829973428	0.0	1.0312807818159206	0.27131340842223306	0.0	18859.26921182206	18682.62892576927	0.03440536013400335	7.933701842546063	1.8584924623115577	0.0	993.0	3.0	
6	.001	1	0	.5	NaN	0.4997593446087083	0.5000000000000183	NaN	0.7292005725433728	0.4664062015962053	0.0	1.2198351430728158	1.5965880518409274	0.0	18858.806273865357	18872.74313447141	0.04103852596314908	7.9334338358458965	2.2060301507537687	0.0	995.0	3.0	
7	.001	1	0	.5	NaN	0.49968554259213105	0.5000000000000149	NaN	0.7277799192970615	0.5199838594467227	0.0	1.2856280440789387	1.1135610977797041	0.0	18862.208175720967	18311.00203238949	0.04281407035175879	7.940033500837521	2.364891122278057	0.0	996.0	2.0	
8	.001	1	0	.5	NaN	0.49835859214465905	0.49999999999999467	NaN	0.7281906898297356	0.4592187295585416	0.0	0.942011721077327	0.35233946848878717	0.0	18853.342063249213	17752.643029295054	0.03125628140703517	7.93142378559464	1.7925293132328308	0.0	998.0	1.0	
9	.001	1	0	.5	NaN	0.4996807776263734	0.4999999999999889	NaN	0.729836554922087	0.37331051751509453	0.0	0.9140918764495704	0.720256846884948	0.0	18854.329292413484	18435.983220660633	0.030485762144053602	7.935644891122278	1.6441541038525964	0.0	994.0	2.0	
10	.001	1	0	.5	NaN	0.4997893283074147	0.5	NaN	0.7286282384910723	0.5140688140258767	0.0	1.0329174365162987	0.031504775112850616	0.0	18854.859540186855	19561.254243266136	0.03440536013400335	7.921708542713568	1.8857621440536014	0.0	998.0	2.0	
1	.001	1	0	1	NaN	0.49920682838896896	0.5	NaN	0.7258054136220203	0.4002264971278726	0.0	1.2133953972376397	3.7046223024389926	0.0	8107.025979921159	12236.466799697238	0.04103852596314908	7.970184254606365	2.19035175879397	0.0	999.0	1.0	
2	.001	1	0	1	NaN	0.49818732501582486	0.5000000000000218	NaN	0.727063033311196	0.550916294979371	0.0	1.109590774988845	1.0155480496203126	0.0	8097.530197761294	11995.005009403125	0.03708542713567839	7.951189279731993	2.0826130653266333	0.0	998.0	2.0	
3	.001	1	0	1	NaN	0.4996802744729997	Infinity	NaN	0.725001323484678	Infinity	0.0	1.1060694842099605	0.6360251794530549	0.0	8102.516088357508	13562.7341459652	0.037051926298157456	7.967303182579564	2.009882747068677	0.0	1000.0	0.0	
