% Base Parameters: Dims = 100, predfreq = .001, huntsteps = 1, hetfreq = .1, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, basevig = .001, vigilance = true, vigprop = .334, indvprop = .333, mutrate = .001, fthresh = 25, fleeforage = 0, stayforage = .1, localbirth = false, minlifespan = 125, lifespanrange = 50, learnalg = b, lrate = .01, 

% Test Parameters:
%predfreq = [.001, .01, .1]
%huntsteps = [1, 10, 100, 100000]
%fleeforage = [0, .5, 1]
%stayforage = [.1, .5, 1]
% 	Parameters				Results
Seed	predfreq	huntsteps	fleeforage	stayforage	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	VigPredCost	IndPredCost	SocPredCost	VigForageCost	IndForageCost	SocForageCost	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
1	.001	1	0	.1	Infinity	-Infinity	-Infinity	-Infinity	Infinity	Infinity	0.00716800325356176	0.0035587188612099642	0.009280303030303031	360.48185377518416	344.0930542322628	370.4690299368031	1.6750418760469013E-4	5.695142378559464E-4	0.012830820770519263	0.0	0.0	0.0	
2	.001	1	0	.1	-Infinity	-Infinity	Infinity	-Infinity	Infinity	Infinity	0.009067066316972648	0.0030211480362537764	0.011313600782778864	546.8963058380232	316.99540556519224	385.9091426488788	1.6750418760469013E-4	8.710217755443886E-4	0.004221105527638191	0.0	0.0	0.0	
3	.001	1	0	.1	-Infinity	NaN	Infinity	-Infinity	Infinity	-Infinity	0.01366059604146792	0.006240386300356315	0.018563820737651275	300.10081495900994	344.70411658769086	406.9756294948467	3.6850921273031827E-4	5.360134003350084E-4	0.005293132328308208	0.0	0.0	0.0	
4	.001	1	0	.1	NaN	Infinity	Infinity	-Infinity	Infinity	-Infinity	0.006222058795068801	0.0030211480362537764	0.011879431121057733	463.46239510490966	320.9357239484482	245.00738955178846	2.0100502512562814E-4	6.030150753768845E-4	0.013869346733668343	0.0	0.0	0.0	
5	.001	1	0	.1	Infinity	Infinity	Infinity	-Infinity	NaN	Infinity	0.00303951367781155	0.0	0.01845071994642259	295.52176781924527	315.66487594735315	246.14325170884982	1.340033500837521E-4	3.6850921273031827E-4	0.009045226130653266	0.0	0.0	0.0	
6	.001	1	0	.1	Infinity	-Infinity	Infinity	-Infinity	Infinity	-Infinity	0.0	0.15323598298068095	0.014183440683945883	372.4030962156241	417.12639144055987	415.7105404246557	2.680067001675042E-4	7.705192629815746E-4	0.004723618090452261	0.0	0.0	0.0	
7	.001	1	0	.1	Infinity	Infinity	Infinity	-Infinity	-Infinity	Infinity	0.04496923847695457	0.007093680845832309	0.004329004329004329	338.0530616555601	378.5182450888957	323.64584489240326	3.6850921273031827E-4	5.025125628140704E-4	0.00763819095477387	0.0	0.0	0.0	
8	.001	1	0	.1	Infinity	NaN	Infinity	-Infinity	-Infinity	Infinity	0.028149103882002903	0.010664268367899066	0.0	371.2680128344926	363.669551746586	211.92789240846403	2.0100502512562814E-4	5.695142378559464E-4	0.005795644891122278	0.0	0.0	0.0	
9	.001	1	0	.1	NaN	-Infinity	Infinity	-Infinity	NaN	Infinity	0.009919821679045277	0.0	0.012041856947768756	380.60208915243663	325.5500785446898	383.59959055997444	2.0100502512562814E-4	5.695142378559464E-4	0.018693467336683416	0.0	0.0	0.0	
10	.001	1	0	.1	NaN	NaN	Infinity	-Infinity	Infinity	-Infinity	0.0	0.0	0.008878048780487806	298.207375013016	360.01898142365764	404.2721075367989	6.700167504187605E-5	4.355108877721943E-4	0.010787269681742043	0.0	0.0	0.0	
