% Base Parameters: Dims = 100, predfreq = .001, huntsteps = 1, hetfreq = .1, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, basevig = .001, vigilance = true, vigprop = .334, indvprop = .333, mutrate = .001, fthresh = 25, fleeforage = 0, stayforage = .1, localbirth = false, minlifespan = 125, lifespanrange = 50, learnalg = n, lrate = .01, 

% Test Parameters:
%predfreq = [.001, .01, .1]
%huntsteps = [1, 10, 100, 100000]
%fleeforage = [0, .5, 1]
%stayforage = [.1, .5, 1]
% 	Parameters				Results
Seed	predfreq	huntsteps	fleeforage	stayforage	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	VigPredCost	IndPredCost	SocPredCost	VigForageCost	IndForageCost	SocForageCost	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
1	.001	1	0	.1	Infinity	-Infinity	Infinity	-Infinity	Infinity	Infinity	0.0753501400560224	0.0034965034965034965	0.003816793893129771	222.3483122895888	267.9226881333941	227.53441193107557	1.340033500837521E-4	0.0	0.0023450586264656616	0.0	0.0	0.0	
2	.001	1	0	.1	-Infinity	Infinity	NaN	Infinity	Infinity	-Infinity	0.014012296377643556	0.0060698167081145804	0.009509938488129735	268.49897347858143	235.42619907835785	402.68457210017357	2.680067001675042E-4	3.3500837520938026E-5	0.00948073701842546	0.0	0.0	0.0	
3	.001	1	0	.1	Infinity	Infinity	Infinity	-Infinity	Infinity	-Infinity	0.2400530088134349	0.013925171925237047	0.007555492316448491	253.75367827506346	216.01564499511153	225.64889402428784	4.020100502512563E-4	0.0	0.009882747068676716	0.0	0.0	0.0	
4	.001	1	0	.1	-Infinity	Infinity	Infinity	-Infinity	Infinity	Infinity	0.012218278211123649	0.10746882255291582	0.004098360655737705	222.03778156109718	270.6003895834531	231.32365928615496	3.0150753768844223E-4	3.3500837520938026E-5	0.005159128978224455	0.0	0.0	0.0	
5	.001	1	0	.1	Infinity	NaN	NaN	Infinity	-Infinity	Infinity	0.0	0.029952634772700087	0.0109375	225.67775525918177	299.693590379476	237.32287897558749	2.0100502512562814E-4	3.3500837520938026E-5	0.0	0.0	0.0	0.0	
6	.001	1	0	.1	-Infinity	Infinity	-Infinity	Infinity	Infinity	-Infinity	0.008506411414123172	0.012926874292012034	0.06167944405192504	258.2335931237459	427.19587554806225	238.93475993324034	2.680067001675042E-4	1.340033500837521E-4	0.007035175879396985	0.0	0.0	0.0	
7	.001	1	0	.1	Infinity	Infinity	-Infinity	Infinity	Infinity	Infinity	0.017987466480716748	0.016890936187402505	0.01049854993267243	382.28780363468456	224.10145961983915	255.79912888876495	4.020100502512563E-4	3.3500837520938026E-5	0.010787269681742043	0.0	0.0	0.0	
8	.001	1	0	.1	-Infinity	Infinity	-Infinity	Infinity	-Infinity	-Infinity	0.0	0.006985204947853504	0.023973389463502567	277.9185679460003	248.4268371619053	235.23940604156707	2.0100502512562814E-4	0.0	0.007906197654941374	0.0	0.0	0.0	
9	.001	1	0	.1	Infinity	Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.02531571152806708	0.009402084710231033	0.009208864415052958	357.8998227888023	249.37328567889912	280.15276095502304	3.3500837520938025E-4	3.3500837520938026E-5	0.005862646566164154	0.0	0.0	0.0	
10	.001	1	0	.1	-Infinity	Infinity	-Infinity	Infinity	-Infinity	-Infinity	0.0068177630366685095	0.003115264797507788	0.007834928229665071	285.09434948539814	414.4971977298504	240.0686198995722	1.6750418760469013E-4	6.700167504187605E-5	0.007102177554438861	0.0	0.0	0.0	
1	.001	1	0	.5	0.29083267565970566	0.5000000000000002	Infinity	0.7091673243404247	0.7050588084598841	Infinity	1.6956519502836795	1.7610811552843681	1.039960790628188	19125.488993746803	19133.32983918869	12013.779641856832	0.05715242881072027	7.943718592964824	1.177922948073702	739.0	255.0	0.0	
2	.001	1	0	.5	0.29547523266139664	0.4997733113295039	0.5000000000000174	0.7045247673384809	0.707207503921719	0.48948257302535986	1.8148590641560605	1.7402913796719328	2.2840428851369245	19130.34876692738	19134.78501238683	13241.570383627399	0.05986599664991625	7.9414405360134	1.5019765494137354	451.0	539.0	3.0	
3	.001	1	0	.5	0.28980548227440156	0.49867538667416644	0.5000000000000298	0.7101945177254412	0.710156868004574	0.4957999221897081	1.8321831580331838	1.7500894398868054	1.5501600582876855	19118.005901667962	19141.824719184082	12333.567722955653	0.059899497487437184	7.934237855946399	1.7018760469011724	396.0	602.0	2.0	
4	.001	1	0	.5	0.2923771603802282	0.5002925535055476	-Infinity	0.7076228396199443	0.7135215367893754	-Infinity	1.687261808397782	1.6272855192403863	0.026230706063139504	19131.129438223154	19134.202098901915	13022.79513761393	0.055544388609715244	7.9436180904522615	1.3455946398659966	526.0	470.0	0.0	
