% Base Parameters: Dims = 100, predfreq = .001, huntsteps = 1, hetfreq = .1, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, basevig = .001, vigilance = true, vigprop = .334, indvprop = .333, mutrate = .001, fthresh = 25, fleeforage = 0, stayforage = .1, localbirth = false, minlifespan = 125, lifespanrange = 50, learnalg = r, lrate = .01, 

% Test Parameters:
%predfreq = [.001, .01, .1]
%huntsteps = [1, 10, 100, 100000]
%fleeforage = [0, .5, 1]
%stayforage = [.1, .5, 1]
% 	Parameters				Results
Seed	predfreq	huntsteps	fleeforage	stayforage	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	VigPredCost	IndPredCost	SocPredCost	VigForageCost	IndForageCost	SocForageCost	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
1	.001	1	0	.1	-Infinity	Infinity	-Infinity	Infinity	Infinity	Infinity	0.018630356519477087	0.007544018182316054	0.0	277.6728762200302	384.19276696889654	255.94376822552633	2.0100502512562814E-4	1.0050251256281407E-4	0.007604690117252931	0.0	0.0	0.0	
2	.001	1	0	.1	-Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	0.010700757575757575	0.01097400063358803	0.022686829955050516	278.39028537269223	317.07668161755026	385.6524255370255	3.3500837520938025E-4	1.340033500837521E-4	0.007906197654941374	0.0	0.0	0.0	
3	.001	1	0	.1	-Infinity	Infinity	-Infinity	Infinity	Infinity	Infinity	0.003003003003003003	0.004273504273504274	0.029021672771672773	348.6998300430009	318.9377214776825	236.80147775385814	1.6750418760469013E-4	6.700167504187605E-5	0.010117252931323283	0.0	0.0	0.0	
4	.001	1	0	.1	-Infinity	Infinity	-Infinity	Infinity	Infinity	Infinity	0.012548010822432586	0.0030211480362537764	0.022883381060531255	476.61182937953464	266.76308760221343	347.87532655989514	2.680067001675042E-4	1.340033500837521E-4	0.009045226130653266	0.0	0.0	0.0	
5	.001	1	0	.1	-Infinity	Infinity	Infinity	Infinity	Infinity	-Infinity	0.0	0.0	0.00303951367781155	253.19730353859399	377.67652226769496	231.15844432539075	3.3500837520938026E-5	3.3500837520938026E-5	0.010619765494137354	0.0	0.0	0.0	
6	.001	1	0	.1	-Infinity	Infinity	-Infinity	Infinity	Infinity	Infinity	0.006542016178950289	0.020422771711845485	0.019784086516759787	304.8141058356741	227.25607725289882	247.39872800384506	3.6850921273031827E-4	3.3500837520938026E-5	0.0019430485762144054	0.0	0.0	0.0	
7	.001	1	0	.1	-Infinity	Infinity	-Infinity	Infinity	Infinity	Infinity	0.01422303759875745	0.015176851960781043	0.00303951367781155	274.1514375298124	237.42783660537006	244.03945472519584	3.0150753768844223E-4	3.3500837520938026E-5	0.006030150753768844	0.0	0.0	0.0	
8	.001	1	0	.1	-Infinity	-Infinity	Infinity	Infinity	Infinity	-Infinity	0.0	0.010400242371869851	0.01938243778687772	420.751862991108	284.45710990837284	217.64980516754872	2.680067001675042E-4	1.6750418760469013E-4	0.010653266331658291	0.0	0.0	0.0	
9	.001	1	0	.1	-Infinity	Infinity	-Infinity	Infinity	Infinity	Infinity	0.0316742218700505	0.012208795363875577	0.006106998340388237	212.72374212594428	292.04483188604235	258.4125526233031	2.680067001675042E-4	1.0050251256281407E-4	0.014606365159128979	0.0	0.0	0.0	
10	.001	1	0	.1	-Infinity	-Infinity	Infinity	Infinity	Infinity	Infinity	0.013513513513513514	0.010463619289955168	0.0	344.2114943207117	361.5956404359466	263.35569633492497	1.340033500837521E-4	1.0050251256281407E-4	0.008944723618090452	0.0	0.0	0.0	
1	.001	1	0	.5	0.27075621125280935	0.4987385963311323	0.5065062882074917	0.7292437887402416	0.7295285496457053	0.5013696928816948	1.6431764841843268	1.7354018852456568	0.2742782446013256	18857.54811142322	18860.91044721813	15869.166318188283	0.0566499162479062	7.944690117252931	2.0705527638190957	208.0	789.0	3.0	
2	.001	1	0	.5	0.2708153796229104	0.4996430038866481	Infinity	0.7291846203645181	0.7299865161913968	Infinity	1.637205499241969	1.711546681362627	0.527124316038509	18845.72078469722	18866.926102175727	12775.104399053856	0.056214405360134	7.947269681742044	1.80214405360134	473.0	524.0	0.0	
3	.001	1	0	.5	0.27684970987566915	0.4987104985083622	0.5000000000000012	0.7231502901119147	0.7274581358661909	0.4731797896275798	1.7760384383047347	1.6232589920033251	1.5820146899354297	18850.384085478097	18866.61207439635	11641.885845614554	0.05641541038525963	7.951457286432161	1.6190954773869346	524.0	472.0	3.0	
4	.001	1	0	.5	0.27458820101238546	0.4997269712977901	0.500000000000012	0.7254117989744722	0.7281093333194856	0.5252598064544399	1.7075921670460334	1.6411526358552326	0.04319440520198255	18851.96470394862	18865.905175078842	12484.542832276906	0.05597989949748744	7.943752093802345	1.7640871021775544	313.0	683.0	4.0	
5	.001	1	0	.5	0.27776862921886425	0.4991366820451347	0.5000000000000253	0.7222313707765162	0.7242719772192685	0.45838642988534956	1.7492292812984624	1.7591814111874113	2.138095189813778	18855.629455061156	18859.113567070155	15607.332319150324	0.059229480737018426	7.9603685092127305	1.9047236180904523	467.0	531.0	2.0	
6	.001	1	0	.5	0.27325606393960544	0.49916501653034184	Infinity	0.7267439360500927	0.7233695155209594	Infinity	1.7455378329157216	1.6824089221250824	1.317201198298198	18863.324859019554	18865.872176229313	12938.413884104819	0.05721943048576215	7.95142378559464	1.6350083752093802	491.0	509.0	0.0	
7	.001	1	0	.5	0.27094713330484566	0.499301271203774	Infinity	0.7290528666828647	0.7287275913571689	Infinity	1.7204511640172837	1.648760508054797	1.0960358162944213	18847.92601681757	18864.720439393048	13941.62236869141	0.056214405360134	7.94750418760469	1.4766164154103854	547.0	452.0	0.0	
8	.001	1	0	.5	0.2689216053998482	0.4997665068289097	0.49999999999995026	0.7310783945834926	0.7221942730274014	0.5618619079407615	1.6737814455654005	1.731098186513012	1.2181916489170068	18853.71505596533	18864.616059073844	12808.715135985496	0.05678391959798995	7.9426465661641545	1.3613065326633167	619.0	378.0	1.0	
9	.001	1	0	.5	0.2718632219934743	0.49916387472168033	0.4999999999999929	0.7281367779932725	0.7185637420074091	0.5198042447788823	1.6888994643673332	1.681183932848107	1.038487354038504	18849.390893300453	18863.849022771978	12827.812842962438	0.056314907872696815	7.949380234505862	1.3817085427135678	715.0	282.0	3.0	
10	.001	1	0	.5	0.26877493619288034	0.4997254438974983	0.5000000000000036	0.7312250637971042	0.7298828161307049	0.5302294802749499	1.733017528940495	1.6715391138983016	1.0275064946770982	18853.101532656652	18869.334449121117	12079.310460701005	0.056884422110552765	7.9511557788944724	1.8120603015075376	444.0	537.0	2.0	
1	.001	1	0	1	0.2710113447243769	0.498561188251635	0.5000000000000231	0.7289886552648026	0.7218429986840549	0.5177590951752138	1.5573662414293434	1.61875781626293	0.9335352731058643	8089.662559987758	8119.6600812252145	9516.398881115729	0.053768844221105526	7.975778894472362	1.5073366834170854	454.0	544.0	2.0	
2	.001	1	0	1	0.27408954618025216	0.49829234215287366	0.499999999999984	0.725910453716473	0.7295681012308587	0.5723867630573237	1.6920987599286035	1.7138938569339544	1.1782279244143306	8103.089511522782	8114.046933124833	10396.778529505016	0.05728643216080402	7.979564489112228	0.4038190954773869	712.0	286.0	1.0	
3	.001	1	0	1	0.28177073624015886	0.49999999999971423	Infinity	0.7182292637040731	0.7559518366573981	Infinity	1.6702306993774836	2.512595980852481	2.35664706457258	8094.084991654053	7791.399545454317	8472.226805944323	0.05601340033500837	7.976817420435511	0.4931323283082077	998.0	2.0	0.0	
4	.001	1	0	1	0.2671354108004737	0.49999999999999895	Infinity	0.7328645891763349	0.730631892172804	-Infinity	1.6442936101976844	1.7797806383715633	0.9373805914976656	8075.27458237173	8103.1424920648	7944.782727658059	0.05715242881072027	7.9576214405360135	1.1387939698492462	826.0	173.0	0.0	
5	.001	1	0	1	0.26992779172789705	0.4986144823823042	Infinity	0.7300722082140638	0.7259988747339102	Infinity	1.7316012327289392	1.760954611962958	0.22607694431491637	8089.3836758633615	8112.3870756932365	8292.625820878811	0.05852596314907873	7.967638190954774	0.8743048576214405	822.0	178.0	0.0	
6	.001	1	0	1	0.2748190670945892	0.49871746166350606	-Infinity	0.7251809328352237	0.7157711226478909	-Infinity	1.7289041208666205	1.6954740387853608	1.6282914510987525	8095.8980905825065	8129.524861752653	8829.811431711294	0.0576214405360134	7.9864321608040205	1.2647236180904522	638.0	362.0	0.0	
7	.001	1	0	1	0.27695451523210346	0.49932553247214423	-Infinity	0.7230454847507914	0.7218876618041925	Infinity	1.6994456569127092	1.7382850598315118	2.076726062938067	8096.165261487227	8120.867286433046	8977.96477954793	0.057386934673366835	7.979396984924623	1.7908542713567839	403.0	596.0	0.0	
8	.001	1	0	1	0.27728533099106606	0.49876818444156684	0.5000000000000027	0.7227146690060856	0.7258350831805208	0.45937268874973736	1.6531594179338942	1.6545727161946702	0.21562421025438583	8099.095758555363	8120.868391921917	8667.03027459966	0.05507537688442211	7.978726968174205	2.261708542713568	321.0	676.0	1.0	
9	.001	1	0	1	0.27213272668518695	0.500000000000007	Infinity	0.7278672732751328	0.7170344147738906	-Infinity	1.7809778606755857	1.7112875030785777	3.9270738489848114	8093.814635095928	8114.866380378272	8526.36232776475	0.05845896147403685	7.969983249581239	1.0052261306532664	950.0	49.0	0.0	
10	.001	1	0	1	0.278499499002332	0.4994671573654936	Infinity	0.7215005009676171	0.7241287668863816	Infinity	1.7307295138433743	1.6580247258049345	0.9118313557010366	8090.597251722104	8112.144496712629	10031.30071745195	0.05668341708542714	7.969447236180905	1.2895142378559463	459.0	541.0	0.0	
1	.001	1	.5	.1	-Infinity	Infinity	-Infinity	Infinity	Infinity	-Infinity	1.0359023425181408	0.03353213034446348	0.0859454185227547	826.3206732526284	973.2256406542546	1283.887103801917	0.0013065326633165829	0.08860971524288107	0.020770519262981575	0.0	0.0	0.0	
2	.001	1	.5	.1	-Infinity	Infinity	-Infinity	Infinity	Infinity	Infinity	0.00807549504950495	0.06276410000921584	0.054943336656505054	804.2553361286749	850.5166835547024	1092.4348190286078	5.695142378559464E-4	0.07855946398659966	0.016348408710217754	0.0	0.0	0.0	
3	.001	1	.5	.1	-Infinity	Infinity	-Infinity	Infinity	Infinity	Infinity	0.11079712044421533	0.3589490039936638	0.06402917422212313	974.292550224672	1116.9023274852075	1260.7535062860006	0.0010385259631490787	0.0823785594639866	0.03440536013400335	0.0	0.0	0.0	
4	.001	1	.5	.1	-Infinity	-Infinity	-Infinity	Infinity	Infinity	-Infinity	0.030362612647870713	0.04870679534595734	0.06105791416909722	1263.5812979230627	759.9117911663141	1223.748528248469	7.035175879396985E-4	0.07661641541038526	0.023819095477386934	0.0	0.0	0.0	
5	.001	1	.5	.1	-Infinity	Infinity	-Infinity	Infinity	Infinity	-Infinity	0.04744901784375469	0.02966046937993751	0.06529340931277558	874.2214250216326	1326.5107578336426	1150.3765731791093	0.0010050251256281408	0.07782244556113903	0.02592964824120603	0.0	0.0	0.0	
6	.001	1	.5	.1	-Infinity	Infinity	NaN	Infinity	Infinity	Infinity	0.006702712364270075	0.02527631987301051	0.06858790202967971	786.7300724365721	1190.2059578352053	1041.5602406997523	8.710217755443886E-4	0.07487437185929648	0.017989949748743718	0.0	0.0	0.0	
