% Base Parameters: Dims = 100, predfreq = .001, huntsteps = 1, hetfreq = .1, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, basevig = .001, vigilance = true, vigprop = .334, indvprop = .333, mutrate = .001, fthresh = 25, fleeforage = 0, stayforage = .1, localbirth = true, minlifespan = 125, lifespanrange = 50, learnalg = b, lrate = .01, 

% Test Parameters:
%predfreq = [.001, .01, .1]
%huntsteps = [1, 10, 100, 100000]
%fleeforage = [0, .5, 1]
%stayforage = [.1, .5, 1]
% 	Parameters				Results
Seed	predfreq	huntsteps	fleeforage	stayforage	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	VigPredCost	IndPredCost	SocPredCost	VigForageCost	IndForageCost	SocForageCost	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
1	.001	1	0	.1	Infinity	-Infinity	-Infinity	-Infinity	Infinity	Infinity	0.00716800325356176	0.0035587188612099642	0.009280303030303031	341.9050557313853	348.9341929676431	380.7316654314003	1.6750418760469013E-4	5.695142378559464E-4	0.011959798994974874	0.0	0.0	0.0	
2	.001	1	0	.1	-Infinity	NaN	Infinity	-Infinity	Infinity	Infinity	0.009067066316972648	0.0030211480362537764	0.011313600782778864	352.20876844323294	376.08000069077696	396.6764787711502	1.6750418760469013E-4	7.370184254606365E-4	0.004154103852596315	0.0	0.0	0.0	
3	.001	1	0	.1	NaN	NaN	Infinity	-Infinity	Infinity	-Infinity	0.01366059604146792	0.006240386300356315	0.018563820737651275	469.9841312402328	377.79916066869885	351.80717389348285	3.6850921273031827E-4	6.700167504187605E-4	0.005293132328308208	0.0	0.0	0.0	
4	.001	1	0	.1	NaN	Infinity	Infinity	-Infinity	Infinity	-Infinity	0.006222058795068801	0.0030211480362537764	0.011879431121057733	438.5515931172829	323.24309720051343	291.28897020200867	2.0100502512562814E-4	8.040201005025126E-4	0.013869346733668343	0.0	0.0	0.0	
5	.001	1	0	.1	NaN	Infinity	Infinity	-Infinity	NaN	Infinity	0.00303951367781155	0.0	0.006686014064069651	419.9200924860873	374.2873263718364	411.1925403758679	1.0050251256281407E-4	6.030150753768845E-4	0.008475711892797319	0.0	0.0	0.0	
6	.001	1	0	.1	Infinity	-Infinity	Infinity	-Infinity	Infinity	-Infinity	0.0	0.010378840123538104	0.014183440683945883	355.9220715539052	427.6200793769496	465.6150782226716	2.3450586264656616E-4	9.045226130653266E-4	0.004723618090452261	0.0	0.0	0.0	
7	.001	1	0	.1	Infinity	Infinity	Infinity	-Infinity	NaN	Infinity	0.02200173227833784	0.014185879427392592	0.004329004329004329	303.8894721319516	342.0852369986956	366.0466801690084	3.3500837520938025E-4	5.360134003350084E-4	0.00763819095477387	0.0	0.0	0.0	
8	.001	1	0	.1	Infinity	NaN	Infinity	-Infinity	-Infinity	-Infinity	0.003257328990228013	0.010664268367899066	0.0	373.82269163248355	303.19851279664533	211.34623914399097	1.340033500837521E-4	4.355108877721943E-4	0.005795644891122278	0.0	0.0	0.0	
9	.001	1	0	.1	NaN	-Infinity	Infinity	-Infinity	NaN	Infinity	0.009919821679045277	0.0	0.012041856947768756	349.6227622887256	298.5754047959667	313.08230015401824	2.0100502512562814E-4	4.355108877721943E-4	0.019028475711892798	0.0	0.0	0.0	
10	.001	1	0	.1	NaN	NaN	Infinity	-Infinity	Infinity	-Infinity	0.0	0.022727272727272728	0.008878048780487806	342.2105456638864	364.22448516556335	327.77230803852973	1.0050251256281407E-4	4.355108877721943E-4	0.010921273031825796	0.0	0.0	0.0	
1	.001	1	0	.5	0.004601226993864952	0.4999999999999997	0.5000000000000036	0.9953987730060042	0.9932935916542472	0.7575366063747336	0.604106201585124	0.805336965624263	0.15742732375773116	14882.345471909664	14897.08493603488	14250.977126676333	0.024355108877721944	7.95500837520938	1.9770854271356784	326.0	671.0	2.0	
2	.001	1	0	.5	-7.317817849268424E-15	0.5000000000000001	NaN	0.9999999999985841	0.9907786885245898	Infinity	1.190903057357194	0.8653035723904725	0.4482893490867701	14898.539730912042	14890.002919085073	13608.591605844902	0.02914572864321608	7.947571189279732	1.5795644891122278	23.0	976.0	0.0	
3	.001	1	0	.5	0.010380622837369643	0.5	-Infinity	0.9896193771625073	0.9952494061757718	Infinity	0.4403873375111745	0.6926432898301079	0.1314752905576973	14887.298987679767	14890.726125122557	14390.937716860051	0.01815745393634841	7.956582914572865	0.7599329983249581	578.0	421.0	0.0	
4	.001	1	0	.5	0.016620498614953415	0.5000000000000002	0.5000000000000028	0.9833795013845223	0.9960317460317449	0.8611731056641381	1.2126824721568905	0.5475583334962637	0.439101089375377	14900.135965522835	14900.166465465012	13272.440326215205	0.03098827470686767	7.952596314907873	0.5451256281407035	361.0	630.0	9.0	
5	.001	1	0	.5	0.00915750915750785	0.49445482375078736	0.5000000000000021	0.9908424908422222	0.9915040567019672	0.9222286350110768	1.2023942536475776	0.6627458125988693	0.18221851975223557	14895.827523987793	14890.067112440587	13816.418404381931	0.02847571189279732	7.952763819095478	1.1260301507537689	273.0	717.0	5.0	
6	.001	1	0	.5	0.008032128514054705	0.4999999999999984	0.49999999999999645	0.9919678714856418	0.9899396378269554	0.8850637958527203	1.045719639496802	0.8468790253049452	0.08817527630969403	14901.844922390856	14891.639874245659	11976.104434242548	0.03175879396984924	7.947202680067002	1.07785594639866	498.0	497.0	3.0	
7	.001	1	0	.5	0.01290980935200336	0.47720125786163553	0.5714285714285706	0.9870901906477858	0.9904185049594795	0.8094416133392635	0.9392849536479912	1.0210260735966072	1.1211551678816665	14896.73700462018	14893.864261645269	13743.790858589986	0.03242881072026801	7.959195979899498	1.3050921273031826	782.0	212.0	6.0	
