% Base Parameters: Dims = 100, predfreq = .001, huntsteps = 1, hetfreq = .1, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, basevig = .001, vigilance = true, vigprop = .334, indvprop = .333, mutrate = .001, fthresh = 25, fleeforage = 0, stayforage = .1, localbirth = true, minlifespan = 125, lifespanrange = 50, learnalg = n, lrate = .01, 

% Test Parameters:
%predfreq = [.001, .01, .1]
%huntsteps = [1, 10, 100, 100000]
%fleeforage = [0, .5, 1]
%stayforage = [.1, .5, 1]
% 	Parameters				Results
Seed	predfreq	huntsteps	fleeforage	stayforage	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	VigPredCost	IndPredCost	SocPredCost	VigForageCost	IndForageCost	SocForageCost	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
1	.001	1	0	.1	Infinity	-Infinity	Infinity	-Infinity	Infinity	Infinity	0.0753501400560224	0.0034965034965034965	0.003816793893129771	222.3483122895888	267.9226881333941	227.53441193107557	1.340033500837521E-4	0.0	0.0023450586264656616	0.0	0.0	0.0	
2	.001	1	0	.1	-Infinity	Infinity	NaN	Infinity	Infinity	-Infinity	0.014012296377643556	0.0060698167081145804	0.009509938488129735	274.99897347858143	234.7595324116912	279.30361971922116	2.680067001675042E-4	3.3500837520938026E-5	0.00948073701842546	0.0	0.0	0.0	
3	.001	1	0	.1	Infinity	Infinity	Infinity	-Infinity	Infinity	-Infinity	0.2400530088134349	0.013925171925237047	0.007555492316448491	253.75367827506346	216.01564499511153	225.64889402428784	4.020100502512563E-4	0.0	0.009882747068676716	0.0	0.0	0.0	
4	.001	1	0	.1	-Infinity	Infinity	Infinity	-Infinity	Infinity	Infinity	0.012218278211123649	0.01655973164382491	0.004098360655737705	221.28064943755277	289.2181212999662	231.548617451173	2.680067001675042E-4	3.3500837520938026E-5	0.005159128978224455	0.0	0.0	0.0	
5	.001	1	0	.1	Infinity	NaN	NaN	Infinity	-Infinity	Infinity	0.0	0.029952634772700087	0.0109375	224.67775525918177	308.143590379476	236.32287897558749	2.0100502512562814E-4	3.3500837520938026E-5	0.0	0.0	0.0	0.0	
6	.001	1	0	.1	-Infinity	Infinity	-Infinity	Infinity	Infinity	-Infinity	0.008506411414123172	0.012926874292012034	0.06167944405192504	294.11828513827083	233.52371807093655	239.59591754468292	2.680067001675042E-4	3.3500837520938026E-5	0.007035175879396985	0.0	0.0	0.0	
7	.001	1	0	.1	Infinity	Infinity	-Infinity	Infinity	Infinity	Infinity	0.017987466480716748	0.016890936187402505	0.01049854993267243	324.6139941108751	224.10145961983915	255.3673828570189	4.020100502512563E-4	3.3500837520938026E-5	0.010787269681742043	0.0	0.0	0.0	
8	.001	1	0	.1	-Infinity	Infinity	-Infinity	Infinity	-Infinity	-Infinity	0.0	0.006985204947853504	0.023973389463502567	277.9185679460003	248.4268371619053	235.23940604156707	2.0100502512562814E-4	0.0	0.007906197654941374	0.0	0.0	0.0	
9	.001	1	0	.1	Infinity	Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.02531571152806708	0.009402084710231033	0.009208864415052958	371.8998227888023	246.32328567889914	278.9860942883564	3.3500837520938025E-4	3.3500837520938026E-5	0.005862646566164154	0.0	0.0	0.0	
10	.001	1	0	.1	-Infinity	Infinity	-Infinity	Infinity	-Infinity	-Infinity	0.0068177630366685095	0.003115264797507788	0.007834928229665071	314.9300637711124	307.87497550762816	242.5686198995722	1.6750418760469013E-4	3.3500837520938026E-5	0.007102177554438861	0.0	0.0	0.0	
1	.001	1	0	.5	0.2920144723977069	0.4993687198381202	0.5	0.7079855276022492	0.7072527795026368	0.4721188978868209	1.3723301010445665	0.8146077703402098	0.021726095535469225	19120.73806227411	19133.90795973731	13782.627179556728	0.03681742043551089	7.918123953098828	0.7176884422110553	742.0	250.0	7.0	
2	.001	1	0	.5	0.2901380045770626	0.49963591231910404	Infinity	0.7098619954231564	0.7108924788533572	-Infinity	1.1442407104933021	1.1632477106474066	0.5216728599788971	19120.83170005517	19126.096908119125	12890.243159844504	0.03768844221105527	7.918827470686767	1.235041876046901	100.0	900.0	0.0	
3	.001	1	0	.5	0.2895161935595837	0.5001983079170503	0.500000000000024	0.7104838064405057	0.7060305930369261	0.5687861707532824	0.9993170707971155	1.0292449970155553	1.5635640947289717	19127.975767635096	19134.04834635827	13820.47673700342	0.03393634840871022	7.9258961474036855	1.1733668341708543	510.0	486.0	1.0	
4	.001	1	0	.5	0.29057765336804803	0.49985290138993743	0.4999999999999686	0.7094223466319171	0.705968633719365	0.5644666720028644	1.4084956775595974	1.119763373219082	2.6159869187624682	19129.234151213863	19130.82916353599	15042.179912796486	0.04365159128978224	7.93963149078727	0.8158793969849246	616.0	377.0	2.0	
