% Base Parameters: Dims = 100, predfreq = .001, huntsteps = 1, hetfreq = .1, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, basevig = .001, vigilance = true, vigprop = .334, indvprop = .333, mutrate = .001, fthresh = 25, fleeforage = 0, stayforage = .1, localbirth = true, minlifespan = 125, lifespanrange = 50, learnalg = r, lrate = .01, 

% Test Parameters:
%predfreq = [.001, .01, .1]
%huntsteps = [1, 10, 100, 100000]
%fleeforage = [0, .5, 1]
%stayforage = [.1, .5, 1]
% 	Parameters				Results
Seed	predfreq	huntsteps	fleeforage	stayforage	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	VigPredCost	IndPredCost	SocPredCost	VigForageCost	IndForageCost	SocForageCost	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
1	.001	1	0	.1	-Infinity	Infinity	-Infinity	Infinity	Infinity	Infinity	0.018630356519477087	0.007544018182316054	0.0	316.7312666553695	257.7845043039723	256.89289222838863	2.0100502512562814E-4	2.0100502512562814E-4	0.007604690117252931	0.0	0.0	0.0	
2	.001	1	0	.1	-Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	0.010700757575757575	0.01097400063358803	0.022686829955050516	347.5419392550607	338.9703212133785	335.26152938790744	3.3500837520938025E-4	2.3450586264656616E-4	0.007906197654941374	0.0	0.0	0.0	
3	.001	1	0	.1	-Infinity	Infinity	-Infinity	Infinity	Infinity	Infinity	0.003003003003003003	0.004273504273504274	0.029021672771672773	402.4560377242091	294.88801840297936	237.2800991324793	1.6750418760469013E-4	1.0050251256281407E-4	0.010117252931323283	0.0	0.0	0.0	
4	.001	1	0	.1	-Infinity	Infinity	-Infinity	Infinity	Infinity	Infinity	0.012548010822432586	0.0030211480362537764	0.022883381060531255	346.7784960462036	270.76308760221343	352.12532655989514	2.680067001675042E-4	6.700167504187605E-5	0.009045226130653266	0.0	0.0	0.0	
5	.001	1	0	.1	-Infinity	Infinity	Infinity	Infinity	Infinity	-Infinity	0.0	0.0	0.00303951367781155	252.20072511701574	301.76251620152146	230.8569473918119	3.3500837520938026E-5	3.3500837520938026E-5	0.010619765494137354	0.0	0.0	0.0	
6	.001	1	0	.1	-Infinity	Infinity	-Infinity	Infinity	Infinity	Infinity	0.006542016178950289	0.020422771711845485	0.019784086516759787	328.48077250234076	227.25607725289882	247.39872800384506	3.6850921273031827E-4	3.3500837520938026E-5	0.0019430485762144054	0.0	0.0	0.0	
7	.001	1	0	.1	-Infinity	Infinity	-Infinity	Infinity	Infinity	Infinity	0.01422303759875745	0.015176851960781043	0.00303951367781155	313.86810419647907	237.26116993870343	243.30889916964017	3.0150753768844223E-4	3.3500837520938026E-5	0.006030150753768844	0.0	0.0	0.0	
8	.001	1	0	.1	-Infinity	-Infinity	Infinity	Infinity	Infinity	-Infinity	0.0	0.03540024237186985	0.01938243778687772	342.1375879386652	370.90930335761016	216.34443236188497	3.0150753768844223E-4	2.3450586264656616E-4	0.010586264656616415	0.0	0.0	0.0	
9	.001	1	0	.1	-Infinity	Infinity	-Infinity	Infinity	Infinity	Infinity	0.0316742218700505	0.012208795363875577	0.006106998340388237	210.64251640721892	353.49239162023264	262.2503022103171	2.680067001675042E-4	1.340033500837521E-4	0.014606365159128979	0.0	0.0	0.0	
10	.001	1	0	.1	-Infinity	-Infinity	Infinity	Infinity	Infinity	Infinity	0.013513513513513514	0.010463619289955168	0.0	223.4781609873784	352.8734221743321	262.31760109682966	1.340033500837521E-4	6.700167504187605E-5	0.008944723618090452	0.0	0.0	0.0	
