% Base Parameters: Dims = 100, predfreq = .001, huntsteps = 1, hetfreq = .1, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, basevig = .001, vigilance = true, vigprop = .334, indvprop = .333, mutrate = .001, fthresh = 25, stayforage = .5, foragediff = .5, predflee = 0, localbirth = false, minlifespan = 125, lifespanrange = 50, learnalg = b, lrate = .01, 

% Test Parameters:
%predfreq = [.001, .1]
%huntsteps = [1, 100, 100000]
%stayforage = [.5, 1]
%foragediff = [.5, .1, .01]
%predflee = [0, .5, 1]
% 	Parameters					Results
Seed	predfreq	huntsteps	stayforage	foragediff	predflee	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	VigPredCost	IndPredCost	SocPredCost	VigForageCost	IndForageCost	SocForageCost	VigOffspring	IndOffspring	SocOffspring	VigLifespan	IndLifespan	SocLifespan	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
1	.001	1	.5	.5	0	0.005387159865703769	0.49348579529735687	0.4950824457145235	0.994612840134385	0.9949087060009446	0.9653821056358083	0.005529021480836647	0.0051294057551506895	0.0038731541999515854	62.37638519633908	62.487995913502466	64.61203905430484	0.9974502142528301	1.0009624501842913	0.9666989977368251	125.11791578624296	125.376866975126	125.82064338829615	0.041574539363484084	7.951457286432161	2.034539363484087	293.0	685.0	21.0	
2	.001	1	.5	.5	0	0.005468575177787045	0.49292364448256076	0.4968927888603547	0.9945314248222985	0.9946393501222552	0.9605033120123893	0.0055362758368019864	0.005052374011615173	0.0036913990402362494	62.32062568058538	62.377606428371834	63.933677863910425	0.9998464782101406	0.9998408813656925	0.9450671264934105	125.10219433811639	125.13671321518143	123.75612760192142	0.041641541038525964	7.966532663316583	2.1254941373534337	555.0	436.0	8.0	
3	.001	1	.5	.5	0	0.00574947288640493	0.49371242486197003	0.4955946044153369	0.9942505271137008	0.9949157816258469	0.9643918975239473	0.005527649213626094	0.00482920823103522	0.005001250312578144	62.334521485446054	62.37428206999771	64.03434191881304	0.9988649262202043	1.0003034609349557	0.9641244355243351	125.08881125816868	125.10874263552121	124.38827563137649	0.04083752093802345	7.96676716917923	1.888643216080402	435.0	525.0	39.0	
4	.001	1	.5	.5	0	0.005692859251792819	0.4933744612272085	0.49604273299689955	0.9943071407483002	0.994968924523859	0.9587958355460132	0.00512484473872094	0.004833832243875618	0.004652765810787524	62.20696939763514	62.35587085344248	64.99448561089092	1.0000984155102843	0.9993797476108797	0.9275862068965517	124.86937309319948	125.01930439843176	125.01	0.03966499162479062	7.973266331658292	1.7651926298157454	637.0	360.0	3.0	
5	.001	1	.5	.5	0	0.005586950762212875	0.4937415581665672	0.4964428713489177	0.9944130492378764	0.9949951631075518	0.96685650909104	0.0056293507600511435	0.005150398798240281	0.005634596422031272	62.31728583605626	62.43730104796309	63.94147062966615	1.0006076094143717	0.9986020503261882	0.9698982475975128	125.15485998177172	125.17513800272421	124.89040418315433	0.04321608040201005	7.961742043551089	1.6804020100502512	710.0	244.0	46.0	
6	.001	1	.5	.5	0	0.005625936989489914	0.49363447089292606	0.4951798714890832	0.994374063010612	0.9948759311755054	0.9646506364323946	0.005691612521547548	0.005131475071354831	0.003864514662423278	62.410765103683225	62.42847816845813	63.95453512161855	0.9987614387782259	1.0007474582605578	0.9496066583057804	125.1770221303253	125.28372905400768	124.11435412153688	0.042479061976549416	7.958894472361809	1.7781574539363485	345.0	625.0	27.0	
7	.001	1	.5	.5	0	0.005840880101590085	0.49340237901957384	0.4943706777280723	0.994159119898497	0.9949937368662084	0.9675542295926444	0.006028157842554035	0.0050889749819423465	0.003622860248165927	62.31571154735938	62.29938932300217	63.963227968481114	0.9961894176953916	1.001274735145703	0.9617973440058214	124.86443324203813	125.05238963303479	124.66800072766964	0.04257956448911223	7.972395309882747	2.2996984924623116	66.0	886.0	47.0	
8	.001	1	.5	.5	0	0.0053437818738525196	0.4939940466124657	0.4954027412606963	0.9946562181262355	0.9948082874997782	0.9670311324292559	0.005190338466348784	0.004683797733409253	0.004710113899117924	62.31701711873681	62.2810829675073	64.27943821186949	0.995299573828027	1.0014155501258608	0.9629693125321447	124.97222048132365	124.97098122241985	125.19415395165439	0.038592964824120606	7.972227805695143	2.1733668341708543	141.0	848.0	11.0	
9	.001	1	.5	.5	0	0.005326938977281868	0.4926334437628629	0.4964456643756645	0.994673061022772	0.9951085268781907	0.958857238004173	0.005111765725177612	0.004838277232066688	0.004145555043758637	62.45488050331232	62.28469056962488	64.02149547059727	1.0011856436638398	0.9970919932065051	0.9343200740055504	125.37064426670953	124.91208777781851	123.79293863706445	0.03989949748743719	7.960234505862647	1.3067671691792295	760.0	211.0	27.0	
10	.001	1	.5	.5	0	0.005556898156906233	0.49445827484134197	0.496506693278903	0.9944431018431455	0.9951268190607107	0.966710326560346	0.0056624918896600535	0.004789414582008577	0.005973616527005725	62.40718166506098	62.42314613126243	64.10893553472165	1.000816310408616	0.9974056315453471	0.9645767503741892	125.21536770175705	125.20983143396585	124.91518376850158	0.04321608040201005	7.958090452261307	0.9978894472361809	680.0	292.0	27.0	
1	.001	1	.5	.5	.5	0.005773833126804523	0.49403717149427506	0.4956786177539788	0.994226166873273	0.9946475827790278	0.9665041519625515	0.005952000454568054	0.005380159802193273	0.00533508049419693	62.34890939180215	62.19484191487901	64.64666791463871	1.0	0.9995507067728074	0.9589426321709786	125.07130033341882	124.94212181606626	125.73247094113236	0.0457286432160804	7.967671691792295	1.1283752093802346	429.0	555.0	16.0	
2	.001	1	.5	.5	.5	0.005773575737439925	0.49298022436203537	0.4967115439522001	0.994226424262577	0.9949670497860812	0.9670316155642397	0.005771790374544414	0.005423107545780943	0.0061889818688981866	62.25329327909841	62.50313218261301	63.80692119944212	1.0014760424549838	0.9957424401985858	0.9615317515701326	125.0251052305691	125.2961335941026	124.34856943475226	0.045561139028475715	7.967202680067001	1.1011390284757119	895.0	97.0	8.0	
3	.001	1	.5	.5	.5	0.005891886415559335	0.49324906290137777	0.4961915147976596	0.994108113584529	0.9951847120114548	0.9686890166990584	0.0061833704047624186	0.005691699604743083	0.004852177837959828	62.23808495475846	62.3361872909699	64.1932972241029	1.00026021149412	0.9984602224123182	0.9771134719710669	124.92239914997579	125.14508126603936	125.36104204339964	0.047336683417085426	7.9688442211055275	1.3407705192629815	572.0	395.0	28.0	
4	.001	1	.5	.5	.5	0.00568387341016164	0.49366389988401166	0.4972724594777873	0.9943161265899313	0.9949171310636453	0.9638614322267685	0.006113918522677647	0.005508428972575264	0.005609930771067081	62.253127144550504	62.39680256733883	64.31403676295058	1.000595835423984	0.9985180096182157	0.9489077235287096	125.02739274962369	125.12351555599176	124.83120448848037	0.0467001675041876	7.967068676716918	1.3926633165829145	680.0	317.0	1.0	
5	.001	1	.5	.5	.5	0.005815634297528069	0.49339139953055106	0.49598218821318035	0.994184365702502	0.9946235392403466	0.9668775313373629	0.0058586575899307	0.006226077242784157	0.005525625086337892	62.30130151578226	62.44568199365893	64.3144771377262	1.0012800078769715	0.9949332938525062	0.972663567612572	125.08294204887414	125.15762720228989	125.39866786928468	0.04743718592964824	7.963115577889448	0.8987939698492462	849.0	84.0	65.0	
6	.001	1	.5	.5	.5	0.005795509257384586	0.4931270158674613	0.49649904587263205	0.9942044907426839	0.9948662742750679	0.9645952503420384	0.006146620379824382	0.005524528666031386	0.005144838384968125	62.40677285412838	62.228423579363835	64.238452074712	1.0006426295855724	0.9982797678898082	0.9507499440340273	125.21834365642562	124.90191042678717	124.98164316095814	0.0471356783919598	7.964958123953099	1.2982914572864321	636.0	356.0	7.0	
7	.001	1	.5	.5	.5	0.0055402196633377	0.49374870805794296	0.49725335117686814	0.9944597803367626	0.9948740996293935	0.9654634184869013	0.005705728682763671	0.005426663151419281	0.005090017909322273	62.139812213757146	62.49296950522893	64.4137053445188	0.9999669803533102	0.9996255754025064	0.9589830828844155	124.9033955203346	125.32304766939042	125.28362158586145	0.04412060301507538	7.961273031825796	1.8059966499162479	632.0	339.0	28.0	
