% Base Parameters: Dims = 100, predfreq = .001, huntsteps = 1, hetfreq = .1, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, basevig = .001, vigilance = true, vigprop = .334, indvprop = .333, mutrate = .001, fthresh = 25, stayforage = .5, foragediff = .5, predflee = 0, localbirth = false, minlifespan = 125, lifespanrange = 50, learnalg = n, lrate = .01, 

% Test Parameters:
%predfreq = [.001, .1]
%huntsteps = [1, 100, 100000]
%stayforage = [.5, 1]
%foragediff = [.5, .1, .01]
%predflee = [0, .5, 1]
% 	Parameters					Results
Seed	predfreq	huntsteps	stayforage	foragediff	predflee	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	VigPredCost	IndPredCost	SocPredCost	VigForageCost	IndForageCost	SocForageCost	VigOffspring	IndOffspring	SocOffspring	VigLifespan	IndLifespan	SocLifespan	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
1	.001	1	.5	.5	0	0.20137759579853104	0.49855470005255587	0.5001289318524319	0.7986224042016044	0.7976818214241393	0.4824287171065608	0.00554315296199277	0.005148480437946691	0.0027906976744186047	80.07407919382374	80.01320791606022	92.85488372093023	1.0001455836169904	1.000043713458281	0.586046511627907	125.12039765125098	125.0877329107699	123.95906976744186	0.04284757118927973	7.933802345058626	1.4543718592964825	436.0	561.0	0.0	
2	.001	1	.5	.5	0	0.20142510960765417	0.49889948416365537	0.5002541676111674	0.7985748903925033	0.7981801563092934	0.47993505333651876	0.00532742392192414	0.004955031393178347	0.001713796058269066	80.03093487336176	80.05607330731377	94.30934018851757	0.9982157285214113	1.0012826110686606	0.6034334763948498	125.02426160337552	125.1889531710512	125.88154506437768	0.04046901172529313	7.9343718592964825	1.7720603015075378	237.0	749.0	2.0	
3	.001	1	.5	.5	0	0.20154768954230676	0.4987399482800642	0.5001894797750914	0.7984523104578586	0.7981887459140499	0.4840522743350023	0.005218210866291967	0.005163291078536375	0.0030241935483870967	80.11163982851166	80.11140240101028	93.47782258064517	1.0014607643319458	0.9963445721706508	0.5434343434343434	125.25793171937158	125.15819344908854	124.05151515151515	0.04134003350083752	7.924790619765494	0.8986599664991625	809.0	184.0	2.0	
4	.001	1	.5	.5	0	0.20134452602415032	0.498608946489612	0.4996915751070866	0.7986554739759198	0.7980948956534047	0.485265316007494	0.005146662493697077	0.00520898315658141	0.0	80.09131848451655	80.0225670617592	93.618825722274	1.0016713838126186	0.9959028570534975	0.582089552238806	125.2311168570996	124.92299873332604	124.97574626865672	0.04093802345058627	7.9307202680067	0.9761474036850921	825.0	173.0	1.0	
5	.001	1	.5	.5	0	0.20155339112345555	0.4986608249867145	0.5003920070677984	0.7984466088764611	0.7979998483466638	0.4875066572203968	0.0052807115063924406	0.0050505725318333045	0.004570383912248629	80.03181397072447	80.07859118421229	92.10237659963437	1.001340083382966	0.9973849723075272	0.5786106032906764	125.15624379591027	125.02054473038395	123.00822669104205	0.04147403685092127	7.934572864321608	1.0694472361809044	726.0	274.0	0.0	
6	.001	1	.5	.5	0	0.20169359934141154	0.49888496983355696	0.5005819552272508	0.7983064006587215	0.7980062918195038	0.49075994144542395	0.00526346089001834	0.0051319393876348	0.004780114722753346	80.00413675129325	79.98411005929471	91.87858508604207	0.9993567328627037	1.0010026679686819	0.5617224880382775	124.9650903872798	125.05998570108288	122.6555023923445	0.041440536013400336	7.939530988274707	1.4408040201005026	337.0	662.0	1.0	
7	.001	1	.5	.5	0	0.20130711608648116	0.49882550989147806	0.5005116738792735	0.798692883913633	0.7982283413714779	0.48673151042264323	0.005113329986426433	0.004923740181596843	0.008241758241758242	80.10490693739425	80.14165639272062	93.63003663003663	0.9989370431150231	1.001122518182456	0.5902841429880843	125.13687900939878	125.28859630660337	124.86251145737855	0.04	7.927001675041876	1.7706532663316583	314.0	684.0	1.0	
8	.001	1	.5	.5	0	0.2011550412882345	0.49867671137543673	0.5007932302978488	0.7988449587118303	0.7982482575637976	0.48606747415979445	0.005366859873622117	0.005118000495540139	0.0016680567139282735	80.19952584959725	80.11216241328047	95.2627189324437	0.9994098802900017	1.0007935520009958	0.6190476190476191	125.33923453043332	125.24545652579822	127.71595655806182	0.04147403685092127	7.922613065326633	1.8985594639865997	381.0	616.0	2.0	
9	.001	1	.5	.5	0	0.20177462347411787	0.49892004329538553	0.5001174614934649	0.7982253765257834	0.798461190568392	0.4845850929710919	0.005637945826694448	0.0046925908216481895	0.003656307129798903	79.99642521550844	80.04767094040855	93.47074954296161	1.0013755628858076	0.9982826300294406	0.5815018315018315	125.12252775078359	125.06259478990097	124.60164835164835	0.04201005025125628	7.935845896147404	1.110318257956449	740.0	257.0	2.0	
10	.001	1	.5	.5	0	0.20169759758000094	0.4985268598359871	0.5005499872797071	0.798302402419943	0.7985505564029373	0.48363217829306315	0.005379543064872399	0.005279014818133108	0.005655042412818096	80.02957933603398	80.27088109480268	94.43072573044297	1.0017805858701896	0.998328421237848	0.5749293119698398	125.24235660950193	125.22028768750275	125.40999057492931	0.042445561139028476	7.926130653266331	1.817822445561139	817.0	182.0	0.0	
