% Base Parameters: Dims = 100, predfreq = .001, huntsteps = 1, hetfreq = .1, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, basevig = .001, vigilance = false, vigprop = 0, indvprop = .5, mutrate = .001, fthresh = 25, stayforage = .5, foragediff = .5, predflee = 0, localbirth = false, minlifespan = 125, lifespanrange = 50, learnalg = r, lrate = .01, 

% Test Parameters:
%predfreq = [.001, .1]
%huntsteps = [1, 100, 100000]
%stayforage = [.5, 1]
%foragediff = [.5, .1, .01]
%predflee = [0, .5, 1]
% 	Parameters					Results
Seed	predfreq	huntsteps	stayforage	foragediff	predflee	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	VigPredCost	IndPredCost	SocPredCost	VigForageCost	IndForageCost	SocForageCost	VigOffspring	IndOffspring	SocOffspring	VigLifespan	IndLifespan	SocLifespan	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
1	.001	1	.5	.5	0	NaN	0.4985839325096153	0.5008268848650215	NaN	0.8334100263248422	0.4886892790311858	NaN	0.005286078863725818	0.0038230475150191155	NaN	78.87527562520897	94.81813216821409	NaN	1.0012580594433087	0.5967213114754099	NaN	125.02864210333938	126.45901639344262	0.04207705192629816	7.943450586264657	3.5834505862646564	0.0	998.0	1.0	
2	.001	1	.5	.5	0	NaN	0.4985376723002027	0.500929980024869	NaN	0.8335397722957154	0.48795591113993914	NaN	0.005084221978570914	0.007119386637458927	NaN	78.93470521249169	93.71412924424973	NaN	1.0013858894349312	0.5860745614035088	NaN	125.07423435985513	125.05372807017544	0.04067001675041876	7.941273031825796	3.721708542713568	0.0	993.0	2.0	
3	.001	1	.5	.5	0	NaN	0.4986294607753016	0.500872311855889	NaN	0.8339557709765459	0.4863160496222679	NaN	0.005025104318621298	0.007411630558722919	NaN	79.06548749872782	92.4811858608894	NaN	1.0014990077590686	0.5662857142857143	NaN	125.36250010646361	123.32	0.040134003350083755	7.925293132328308	3.458827470686767	0.0	994.0	4.0	
4	.001	1	.5	.5	0	NaN	0.49870074732180597	0.5003969388585069	NaN	0.8337846708431271	0.48702403007871775	NaN	0.004924961040720916	0.003963759909399773	NaN	78.94620655193441	93.0832389580974	NaN	1.0013820847792065	0.5697278911564626	NaN	125.15372610056474	124.1575963718821	0.03919597989949749	7.936683417085427	3.255510887772194	0.0	992.0	2.0	
5	.001	1	.5	.5	0	NaN	0.4986014283359462	0.5005216137644892	NaN	0.8338126157063938	0.4876518590464701	NaN	0.005082468239872154	0.004988913525498891	NaN	79.02591253407034	94.08869179600887	NaN	1.001289833726385	0.6009988901220865	NaN	125.25115148522438	125.56714761376249	0.04046901172529313	7.930083752093802	3.523082077051926	0.0	995.0	2.0	
6	.001	1	.5	.5	0	NaN	0.49863455597791223	0.5009454018129372	NaN	0.8338641550787288	0.48846856344109557	NaN	0.00519868994708098	0.004928806133625411	NaN	78.99786459679436	94.10624315443593	NaN	1.0013913531867094	0.5978082191780822	NaN	125.19658076018092	125.87945205479453	0.041407035175879396	7.934572864321608	3.4737688442211057	0.0	998.0	1.0	
7	.001	1	.5	.5	0	NaN	0.4987117833082012	0.5007240525720557	NaN	0.8336871422609936	0.48500198707233483	NaN	0.005224549884932991	0.007050528789659225	NaN	78.91022658047922	93.26850763807286	NaN	1.0012405103085558	0.5764705882352941	NaN	125.05775595083841	124.45176470588235	0.04177554438860972	7.942579564489113	3.269748743718593	0.0	997.0	2.0	
8	.001	1	.5	.5	0	NaN	0.4986684040232488	0.500717946693662	NaN	0.833672916451796	0.48450831077844864	NaN	0.004902894740184684	0.0018337408312958435	NaN	78.9799607937778	93.88325183374083	NaN	1.001232982712732	0.5677498467198038	NaN	125.170627800784	125.0	0.03889447236180905	7.933768844221105	3.355142378559464	0.0	985.0	5.0	
9	.001	1	.5	.5	0	NaN	0.498754218688134	0.5010634270944977	NaN	0.833571013587123	0.4864396769983138	NaN	0.0047352888949019544	0.004822182037371911	NaN	78.87452752809463	91.42555756479807	NaN	1.0013629184286952	0.5539481615430982	NaN	125.03429799086292	121.67510548523207	0.03778894472361809	7.945762144053601	3.151323283082077	0.0	998.0	0.0	
10	.001	1	.5	.5	0	NaN	0.4986539137857474	0.5004589135595392	NaN	0.8337689101859599	0.4905933950765983	NaN	0.004959034980269822	0.005577244841048522	NaN	78.9893232400724	93.90239821528165	NaN	1.0013152518132598	0.5870535714285714	NaN	125.19934790751523	125.51227678571429	0.039530988274706864	7.930519262981575	3.399095477386935	0.0	997.0	1.0	
