% Base Parameters: Dims = 100, predfreq = .001, huntsteps = 1, hetfreq = .1, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, basevig = .001, vigilance = false, vigprop = 0, indvprop = .5, mutrate = .001, fthresh = 25, stayforage = .5, foragediff = .5, predflee = 0, localbirth = true, minlifespan = 125, lifespanrange = 50, learnalg = r, lrate = .01, 

% Test Parameters:
%predfreq = [.001, .1]
%huntsteps = [1, 100, 100000]
%stayforage = [.5, 1]
%foragediff = [.5, .1, .01]
%predflee = [0, .5, 1]
% 	Parameters					Results
Seed	predfreq	huntsteps	stayforage	foragediff	predflee	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	VigPredCost	IndPredCost	SocPredCost	VigForageCost	IndForageCost	SocForageCost	VigOffspring	IndOffspring	SocOffspring	VigLifespan	IndLifespan	SocLifespan	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
1	.001	1	.5	.5	0	NaN	0.49907372375992587	0.5003166857447203	NaN	0.8346771114061606	0.4741948455928149	NaN	0.00317701352245542	0.0034129692832764505	NaN	79.08021004767642	93.27417519908987	NaN	1.0013715726656642	0.580718767826583	NaN	125.3885512018299	123.94352538505419	0.025293132328308206	7.923417085427135	2.311859296482412	0.0	989.0	5.0	
2	.001	1	.5	.5	0	NaN	0.49914165838438507	0.5002951783218973	NaN	0.8342460632442351	0.4889550373440222	NaN	0.003195943057184099	0.002788622420524261	NaN	78.89469050148791	93.91466815393196	NaN	1.001347559938786	0.5849162011173185	NaN	125.10062064274783	125.44581005586592	0.025460636515912898	7.94070351758794	2.1716247906197657	0.0	997.0	3.0	
3	.001	1	.5	.5	0	NaN	0.4990456852974604	0.500295752033092	NaN	0.8347910557047082	0.47332201562493986	NaN	0.0035819932689083833	0.003432494279176201	NaN	79.10141200137508	94.68878718535468	NaN	1.0012701172940535	0.5743707093821511	NaN	125.44094380796508	125.57151029748283	0.02847571189279732	7.918626465661641	2.3570854271356785	0.0	999.0	0.0	
4	.001	1	.5	.5	0	NaN	0.49912346166539534	0.5001691169146332	NaN	0.8345160202294288	0.47368629375866994	NaN	0.003210748807617692	0.003816793893129771	NaN	79.01825636854991	94.52226463104326	NaN	1.0011612573907864	0.5569700827498408	NaN	125.29085031264621	124.91788669637174	0.02559463986599665	7.928107202680067	2.1852261306532665	0.0	992.0	1.0	
5	.001	1	.5	.5	0	NaN	0.4993797044671366	0.5002311394379804	NaN	0.8348302428193409	0.48772786477330426	NaN	0.0023321192179344206	0.006010928961748634	NaN	78.98783905833267	92.51311475409837	NaN	1.0012817182689564	0.595511767925561	NaN	125.26922896768451	123.45977011494253	0.01879396984924623	7.928542713567839	1.5425795644891123	0.0	996.0	3.0	
6	.001	1	.5	.5	0	NaN	0.4990748105219946	0.5002474901180938	NaN	0.8346210022277212	0.48135635940331584	NaN	0.0033145424490314923	0.004602991944764097	NaN	78.99171788242275	93.97123130034522	NaN	1.0013280155956703	0.5754608294930875	NaN	125.25765205140101	125.01382488479263	0.026465661641541037	7.92857621440536	2.342077051926298	0.0	993.0	2.0	
7	.001	1	.5	.5	0	NaN	0.4992428914582851	0.500438617491522	NaN	0.8347179850497001	0.47893578707608087	NaN	0.0028527586557699483	0.0072507552870090634	NaN	79.02664552884126	93.26525679758308	NaN	1.0012046808021557	0.5740181268882175	NaN	125.32244580000597	124.28459214501511	0.022948073701842545	7.925192629815745	1.8969849246231156	0.0	995.0	0.0	
8	.001	1	.5	.5	0	NaN	0.49911730080499395	0.5002003742029547	NaN	0.8347371116427946	0.4811573222094786	NaN	0.0032884547657135096	5.78368999421631E-4	NaN	79.09420680349467	94.06998264893002	NaN	1.001414722488548	0.5725853094274147	NaN	125.41918823905401	125.07287449392713	0.025996649916247908	7.91966499162479	2.227705192629816	0.0	998.0	0.0	
9	.001	1	.5	.5	0	NaN	0.49908109869528305	0.5008237250833678	NaN	0.8343704233381213	0.481805836761112	NaN	0.0034560162636059462	0.0029342723004694834	NaN	78.96028122485282	94.53227699530517	NaN	1.0012334442015363	0.5757931844888367	NaN	125.21569536480176	125.5123384253819	0.027504187604690117	7.933467336683417	2.3030150753768845	0.0	996.0	2.0	
10	.001	1	.5	.5	0	NaN	0.49905900890214294	0.500357312904713	NaN	0.8344441729886837	0.4769966006501671	NaN	0.003609465951551816	0.005995203836930456	NaN	78.99287850673174	93.09172661870504	NaN	1.001327382801033	0.5456182472989196	NaN	125.23860982178184	123.51860744297718	0.028877721943048575	7.930117252931323	2.36820770519263	0.0	997.0	2.0	
