% Base Parameters: Dims = 100, predfreq = .001, huntsteps = 1, hetfreq = .1, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, basevig = .001, vigilance = true, vigprop = .334, indvprop = .333, mutrate = .001, fthresh = 25, stayforage = .5, foragediff = .5, predflee = 0, localbirth = true, minlifespan = 125, lifespanrange = 50, learnalg = r, lrate = .01, 

% Test Parameters:
%predfreq = [.001, .1]
%huntsteps = [1, 100, 100000]
%stayforage = [.5, 1]
%foragediff = [.5, .1, .01]
%predflee = [0, .5, 1]
% 	Parameters					Results
Seed	predfreq	huntsteps	stayforage	foragediff	predflee	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	VigPredCost	IndPredCost	SocPredCost	VigForageCost	IndForageCost	SocForageCost	VigOffspring	IndOffspring	SocOffspring	VigLifespan	IndLifespan	SocLifespan	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
1	.001	1	.5	.5	0	0.16579906849006848	0.49864598668120497	0.4998153026958894	0.8342009315282902	0.8343884137283747	0.4966135426903669	0.0049061059080683506	0.004458627354038383	8.944543828264759E-4	78.87666129521196	79.11542091779405	93.76296958855099	1.0004487790804837	0.9997834345476038	0.5931899641577061	125.16268241667535	125.42168903005748	125.6173835125448	0.037252931323283084	7.930217755443886	1.5850251256281407	571.0	424.0	2.0	
2	.001	1	.5	.5	0	0.1649713962569641	0.49932857626167687	0.499996311637567	0.8350286037650823	0.8348946375050474	0.4964604483616448	0.002448789209779609	0.002268680018539751	0.0025	79.00794884751429	79.04609323543043	94.96333333333334	1.0012432224847527	0.9977238796837906	0.6210350584307178	125.38209889802322	125.29004625663869	127.28797996661102	0.01899497487437186	7.924556113902848	0.5960134003350084	729.0	268.0	2.0	
3	.001	1	.5	.5	0	0.16540854521045534	0.4988538617629743	0.500383685061669	0.8345914548074044	0.833987183681964	0.4853643921073221	0.003878668523944474	0.004851882416550468	0.0018315018315018315	78.89800782938661	78.94489342932756	94.31959706959707	1.0016351897664877	0.9966193084560082	0.5943223443223443	125.2254691365474	125.0047786146297	125.52655677655677	0.033132328308207705	7.937219430485762	0.870854271356784	822.0	178.0	0.0	
4	.001	1	.5	.5	0	0.1649003013508011	0.4992469974631329	0.5003194276989632	0.8350996986664172	0.8349526605748139	0.48361484181511366	0.0021824164386321284	0.0024175973849087443	0.004032258064516129	78.97214061476993	79.08133001906837	93.03225806451613	0.9997303832770228	1.0004447523499174	0.5524193548387096	125.29127874156394	125.40292852316561	124.38407258064517	0.018358458961474037	7.926231155778894	0.9608375209380234	447.0	553.0	0.0	
5	.001	1	.5	.5	0	0.16490533304728142	0.4991291491132594	0.5009962512703653	0.8350946669698919	0.8348810373565809	0.48125245443171083	0.0031772181689809368	0.00280800878140928	0.011857707509881422	79.02424099788186	79.06367372639784	93.84288537549408	1.001065025738122	0.9991295888587374	0.5691699604743083	125.45619447708081	125.29653712900858	124.42490118577075	0.024120603015075376	7.9231155778894475	1.078827470686767	665.0	335.0	0.0	
6	.001	1	.5	.5	0	0.16549661768713586	0.4990268770314769	0.500330157758717	0.8345033823319223	0.8346233623282653	0.4962048138680156	0.004512905528309272	0.0032621673200402363	0.003872216844143272	78.94848533689454	79.0376888437638	94.07163601161665	1.0002388676134044	0.9997922313409578	0.5664403491755577	125.22097565861965	125.37096149668987	125.88069835111543	0.0314572864321608	7.929547738693468	1.0936013400335007	514.0	484.0	2.0	
7	.001	1	.5	.5	0	0.16555195076501888	0.49928192384975445	0.5005473880433501	0.8344480492466463	0.8345798497917933	0.4860549841452606	0.0045629387971035254	0.002509031829056782	0.0035460992907801418	78.91279716965535	79.0094877050585	94.76595744680851	0.998551830110879	1.0010678902622188	0.5948581560283688	125.11188494234958	125.33096330591266	126.30762411347517	0.02626465661641541	7.9307202680067	1.115611390284757	272.0	727.0	0.0	
8	.001	1	.5	.5	0	0.1647960245838146	0.49929372927809196	0.5003398513705457	0.8352039754324548	0.8345998247244598	0.489048069535145	0.002873258675710366	0.002485215959278389	0.002004008016032064	79.04961081475724	78.92599745489932	93.0440881763527	1.0010639052415065	0.9975324616704031	0.5626880641925778	125.40935527342364	125.18631418985	124.14944834503511	0.021976549413735343	7.927470686767169	0.5060301507537689	654.0	332.0	1.0	
9	.001	1	.5	.5	0	0.1647937935643935	0.49917613794314103	0.5003981451154397	0.8352062064566094	0.8346625247594465	0.4836580622622716	0.0029662946151405196	0.002991462322859576	0.0020100502512562816	79.04132117382487	79.02942332467192	94.1286432160804	1.000616403252393	0.9991555072988297	0.549748743718593	125.40918787140028	125.35567400388247	125.17989949748744	0.023651591289782243	7.92465661641541	0.7901842546063652	576.0	415.0	0.0	
10	.001	1	.5	.5	0	0.16529607575516903	0.49951008643826666	0.49988059967860626	0.8347039242585541	0.8350731030506078	0.4932537558399001	0.0034177684901275317	0.0017791474980273052	0.0030706243602865915	78.99404331777436	78.97920853990799	91.45547594677585	0.9982775494225876	1.0013327044166422	0.5465711361310133	125.19715208455666	125.35684283821118	122.29375639713409	0.01983249581239531	7.930217755443886	0.7177889447236181	226.0	771.0	0.0	
