Base Parameters: PredFreq = .001, AccAlarm = 1, FAlarm = 0, PredDet = 1, AlarmDet = 1, ConDet = 1, PopThresh = 1000, VigProp = .334, IndProp = .333, MutRate = .001, FThresh = 100, PredForage = .01, PredFlee = 0, LearnAlg = n, Steps = .01, 

Test Parameters:
LearnAlg = [n, r]
Steps = [.01, .02, .03, .04, .05, .06, .07, .08, .09, .1]
Parameters		Population			Learning with Alarm			Learning without Alarm
LearnAlg	Steps	vigilance only	individual learning	social learning	vigilance only	individual learning	social learning	vigilance only	individual learning	social learning	
n	.01	5.0	466.0	529.0	0.0010816978794738234	0.9331328338361092	0.9363018661812712	0.9989183021085897	0.9997965673632374	0.9996729883588699	
n	.02	3.0	513.0	484.0	0.0014312271790939872	0.9735120851665692	0.9718054161896154	0.9985687728137501	0.9999106813288801	0.9998092556392421	
n	.03	0.0	506.0	494.0	-Infinity	0.9842160359063581	0.9852346931473156	Infinity	0.999984208840098	0.9998513222290718	
n	.04	0.0	528.0	472.0	Infinity	0.9899610457326252	0.9894398164155848	Infinity	0.999986961980682	0.999989279739848	
n	.05	2.0	461.0	537.0	0.0010353875939614317	0.9898552176675482	0.9893565807086521	0.9989646124509408	0.9999904515719911	0.9999900450767037	
n	.06	2.0	461.0	537.0	0.0010326907269397332	0.9942551498833395	0.9940171171540542	0.9989673092969014	0.9999942016429196	0.9999940663547398	
n	.07	1.0	545.0	454.0	7.207376523096375E-4	0.9947704807469354	0.9934745510855977	0.9992792623215271	0.9999949415686544	0.9999931439130569	
n	.08	0.0	569.0	431.0	-Infinity	0.9945782903222897	0.9958837413156254	-Infinity	0.9999949548765884	0.9999960891885331	
n	.09	0.0	494.0	506.0	-Infinity	0.9961269486169739	0.996607386350163	Infinity	0.9999958001451894	0.9999965135097669	
n	.1	0.0	484.0	516.0	-Infinity	0.9967129934618549	0.99633986396323	Infinity	0.9999966823815408	0.9999963829725046	
r	.01	2.0	533.0	465.0	2.0543918762132395E-8	0.9920243298144591	0.9920443636401048	0.9999999675456193	0.9999999999999731	0.9999999999999876	
r	.02	0.0	447.0	553.0	Infinity	0.9989540957993441	0.9998440122507855	-Infinity	1.0000000000000175	1.0000000000000144	
r	.03	1.0	548.0	451.0	3.6058029753511934E-9	0.9993861216242244	0.999017894223112	0.9999999747060841	1.0000000000000069	1.000000000000016	
r	.04	1.0	504.0	495.0	-2.9701796577796744E-12	0.9999995605570211	0.9986345567483711	0.9999999820741188	1.0	1.0	
r	.05	1.0	494.0	505.0	-1.3561370996833621E-11	0.9989874339431601	0.9999850779742202	0.9999999898469785	0.9999999999999254	0.9999999999999264	
r	.06	1.0	553.0	446.0	-5.897159149892329E-11	0.9999993295447649	0.9999999470671181	0.999999989395465	1.0000000000000442	1.0000000000000544	
r	.07	3.0	510.0	487.0	1.680272131642128E-11	0.9999995750098016	0.999970248059641	0.9999999961001764	1.000000000000026	1.0000000000000253	
r	.08	2.0	442.0	556.0	1.1030845869416262E-11	0.9999999999974933	0.9999770326897244	0.9999999958826085	1.0000000000000013	1.0000000000000029	
r	.09	1.0	564.0	435.0	7.67622131292896E-11	0.9999958974741446	0.9999999999989084	0.9999999956822192	0.9999999999999832	0.9999999999999784	
r	.1	1.0	607.0	392.0	-2.5849822282557162E-11	0.999999362805073	0.9999999999999939	0.9999999923943007	0.9999999999999722	0.9999999999999563	
