% Base Parameters: Dims = 100, predfreq = .004, huntsteps = 4, hetfreq = .01, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, vigilance = true, vigprop = .333, indvprop = .333, mutrate = .001, fthresh = 25, localbirth = false, learnalg = b, lrate = .01, 

% Test Parameters:
%vigilance = [true, false]
% 	Parameters	Results
Timestep	vigilance	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	vigcount	indcount	soccount	
% [100, .004, 4, .01, 1, 0, 1, 1, 1, 2, 4, 2, 4, 2, true, 1000, true, .333, .333, .001, 25, false, b, .01]
0	true	0.5	0.5	0.5	0.5	0.5	0.5	333.0	333.0	334.0	
10000	true	0.0	0.31	0.41451831750339213	1.0	1.0	1.0	113.0	150.0	737.0	
20000	true	0.0	0.3791208791208791	0.41337209302325584	1.0	1.0	1.0	49.0	91.0	860.0	
30000	true	0.0	0.4057971014492754	0.4281674208144796	1.0	1.0	1.0	47.0	69.0	884.0	
40000	true	0.0	0.43103448275862066	0.4371492704826038	1.0	1.0	1.0	51.0	58.0	891.0	
50000	true	0.009433962264150943	0.4426229508196721	0.4170428893905192	0.9905660377358491	1.0	1.0	53.0	61.0	886.0	
60000	true	0.0	0.4057971014492754	0.4260089686098655	1.0	1.0	1.0	39.0	69.0	892.0	
70000	true	0.0	0.4322033898305085	0.412472647702407	1.0	1.0	0.99945295404814	27.0	59.0	914.0	
80000	true	0.0	0.43	0.44220283533260635	1.0	1.0	0.9994547437295529	33.0	50.0	917.0	
90000	true	0.0	0.4222222222222222	0.41703296703296705	1.0	1.0	1.0	45.0	45.0	910.0	
100000	true	0.0	0.391304347826087	0.4353932584269663	1.0	1.0	0.999438202247191	41.0	69.0	890.0	
110000	true	0.0	0.4074074074074074	0.41385135135135137	1.0	1.0	1.0	58.0	54.0	888.0	
120000	true	0.0	0.425531914893617	0.42480359147025815	1.0	1.0	1.0	62.0	47.0	891.0	
130000	true	0.0	0.4215686274509804	0.4544943820224719	1.0	1.0	0.999438202247191	59.0	51.0	890.0	
140000	true	0.0	0.43103448275862066	0.44469525959367945	1.0	1.0	1.0	56.0	58.0	886.0	
150000	true	0.0	0.43373493975903615	0.4240506329113924	1.0	1.0	0.9994246260069045	48.0	83.0	869.0	
160000	true	0.0	0.4425287356321839	0.4388235294117647	1.0	1.0	1.0	63.0	87.0	850.0	
170000	true	0.0	0.3987341772151899	0.431924882629108	1.0	1.0	1.0	69.0	79.0	852.0	
180000	true	0.0	0.3933333333333333	0.4318975552968568	1.0	1.0	0.9994179278230501	66.0	75.0	859.0	
190000	true	0.0	0.41964285714285715	0.4304932735426009	1.0	1.0	1.0	52.0	56.0	892.0	
200000	true	0.0	0.425	0.4206257242178447	1.0	1.0	1.0	77.0	60.0	863.0	
210000	true	0.0	0.4326923076923077	0.4329479768786127	1.0	1.0	0.999421965317919	83.0	52.0	865.0	
220000	true	0.0	0.3787878787878788	0.40193842645381983	1.0	1.0	1.0	90.0	33.0	877.0	
230000	true	0.0	0.3793103448275862	0.4225663716814159	1.0	1.0	1.0	67.0	29.0	904.0	
240000	true	0.0	0.4	0.4402730375426621	1.0	1.0	1.0	81.0	40.0	879.0	
250000	true	0.0	0.44545454545454544	0.4361207897793264	1.0	1.0	1.0	84.0	55.0	861.0	
260000	true	0.0	0.3979591836734694	0.4337142857142857	1.0	1.0	1.0	76.0	49.0	875.0	
270000	true	0.0	0.4375	0.44817767653758545	1.0	1.0	1.0	90.0	32.0	878.0	
280000	true	0.0	0.4	0.42635212888377444	1.0	1.0	1.0	96.0	35.0	869.0	
290000	true	0.0	0.4264705882352941	0.42560553633217996	1.0	1.0	1.0	99.0	34.0	867.0	
300000	true	0.0	0.391304347826087	0.4190751445086705	1.0	1.0	1.0	89.0	46.0	865.0	
310000	true	0.0	0.43137254901960786	0.40988372093023256	1.0	1.0	1.0	89.0	51.0	860.0	
320000	true	0.0	0.4148936170212766	0.43044469783352335	1.0	1.0	1.0	76.0	47.0	877.0	
330000	true	0.0	0.40625	0.42833333333333334	1.0	1.0	1.0	68.0	32.0	900.0	
340000	true	0.0	0.4107142857142857	0.42623873873873874	1.0	1.0	1.0	84.0	28.0	888.0	
350000	true	0.0	0.425	0.3985745614035088	1.0	1.0	1.0	68.0	20.0	912.0	
360000	true	0.0	0.43103448275862066	0.4198218262806236	1.0	1.0	1.0	73.0	29.0	898.0	
370000	true	0.0	0.34615384615384615	0.4406318082788671	1.0	1.0	1.0	56.0	26.0	918.0	
380000	true	0.0	0.45652173913043476	0.4355362946912243	1.0	1.0	1.0	54.0	23.0	923.0	
