% Base Parameters: Dims = 100, predfreq = .004, huntsteps = 4, hetfreq = .01, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, vigilance = true, vigprop = .333, indvprop = .333, mutrate = .001, fthresh = 25, localbirth = false, learnalg = n, lrate = .01, 

% Test Parameters:
%vigilance = [true, false]
%learnalg = [n, r]
%lrate = [.01, .05, .1]
% Parameters			Results
vigilance	learnalg	lrate	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	vigcount	indcount	soccount	
true	n	.01	0.020876417611454968	0.48742727291079213	0.49999999999989897	0.979123582393826	0.9765939072762909	0.9068364556489726	20.0	979.0	1.0	
true	n	.05	0.009340528979057407	0.4687362072810068	0.4999345468571183	0.9906594710275776	0.9911473429556188	0.9603820239566268	29.0	927.0	44.0	
true	n	.1	0.00703603995343431	0.44699859792118235	0.4892595493882156	0.992963960045885	0.994502993825784	0.9686175365300616	160.0	805.0	35.0	
true	r	.01	0.009308595044817585	0.4852466381383797	Infinity	0.9906914040649576	0.9917117868318306	-Infinity	165.0	835.0	0.0	
true	r	.05	0.007112578843637841	0.4620585321779523	0.48609384512956105	0.992887420881731	0.995045236264166	0.9824784295441803	526.0	378.0	96.0	
true	r	.1	0.00568161235906051	0.43105431410555933	0.45255586578496226	0.9943183876274762	0.9993598919791458	0.9773555057105452	802.0	129.0	69.0	
false	n	.01	NaN	0.4889013321116583	-Infinity	NaN	0.9785283658698147	Infinity	0.0	1000.0	0.0	
false	n	.05	NaN	0.4645529488819391	0.5099295294770055	NaN	0.9934912253885885	0.9776067774942915	0.0	968.0	32.0	
false	n	.1	NaN	0.45196666323981716	0.5064615637722197	NaN	0.9963830730207559	0.987022099505363	0.0	979.0	21.0	
false	r	.01	NaN	0.48505506829658657	0.5023253030012014	NaN	0.9886318551399048	0.954633339928845	0.0	977.0	23.0	
false	r	.05	NaN	0.4640454103043977	0.4992144642223777	NaN	0.9968548281833651	0.96443937161873	0.0	950.0	50.0	
false	r	.1	NaN	0.44177539937694843	0.4823628498807362	NaN	0.9957918400144874	0.9971599973483546	0.0	958.0	42.0	
