% Base Parameters: Dims = 100, predfreq = .004, huntsteps = 4, hetfreq = .01, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, vigilance = true, vigprop = .333, indvprop = .333, mutrate = .001, fthresh = 25, localbirth = false, learnalg = n, lrate = .01, 

% Test Parameters:
%vigilance = [true, false]
%learnalg = [n, r]
%lrate = [.01, .05, .1]
% 	Parameters			Results
Timestep	vigilance	learnalg	lrate	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	vigcount	indcount	soccount	
% [100, .004, 4, .01, 1, 0, 1, 1, 1, 2, 4, 2, 4, 2, true, 1000, true, .333, .333, .001, 25, false, n, .01]
0	true	n	.01	0.5	0.5	0.5	0.5	0.5	0.5	333.0	333.0	334.0	
10000	true	n	.01	0.0233140152052452	0.4890003293851929	0.49583462811033946	0.9766859847948419	0.9787543862032442	0.896699526144297	384.0	403.0	213.0	
20000	true	n	.01	0.019752855321451906	0.4858736408930058	0.4949788465917057	0.980247144678624	0.9821537825660702	0.8950145251176063	383.0	419.0	198.0	
30000	true	n	.01	0.020917199331274925	0.4882323751991822	0.4939209377596204	0.9790828006687342	0.9732785988380694	0.8984101513872746	361.0	473.0	166.0	
40000	true	n	.01	0.020747207697839096	0.4892123851102413	0.4945830831660601	0.9792527923022243	0.9790041228756758	0.9075938073600226	385.0	465.0	150.0	
50000	true	n	.01	0.027827145781361983	0.4899761229835625	0.49118912448206037	0.9721728542186198	0.98228371218076	0.9202844790234705	399.0	474.0	127.0	
60000	true	n	.01	0.01837163255143298	0.48829813275440115	0.4929143022222907	0.9816283674484899	0.9795434493556697	0.9286341543419276	395.0	481.0	124.0	
70000	true	n	.01	0.022538226018292994	0.49178262847211823	0.4933611388931091	0.9774617739816652	0.9753311342264906	0.912190028668204	413.0	478.0	109.0	
80000	true	n	.01	0.026450506458706287	0.48903299100120046	0.4927679816392897	0.973549493541327	0.9741696211802651	0.9175833612397186	386.0	504.0	110.0	
90000	true	n	.01	0.023977179335106544	0.48834729572188795	0.49888961620499733	0.9760228206650766	0.9760490187138295	0.9218313174170527	364.0	531.0	105.0	
100000	true	n	.01	0.018402152036385403	0.4874044580052834	0.49391426284213463	0.9815978479638153	0.9781953491598285	0.9365054807004258	364.0	571.0	65.0	
110000	true	n	.01	0.021778175986043685	0.4911173669178486	0.5002480957643863	0.9782218240142335	0.9775860092312857	0.9281895108431035	346.0	597.0	57.0	
120000	true	n	.01	0.018852001171740577	0.4932955634184333	0.48837091438594304	0.9811479988285117	0.9774955454865316	0.9300836192182351	379.0	577.0	44.0	
130000	true	n	.01	0.018926511690075264	0.49333644752896716	0.4891894460105875	0.9810734883103295	0.9805563195771148	0.9392252704641717	376.0	594.0	30.0	
140000	true	n	.01	0.018128111906441726	0.49018983100023833	0.4889714777999548	0.9818718880940758	0.9824118360847318	0.9453284110542794	336.0	636.0	28.0	
150000	true	n	.01	0.019327810330413177	0.48993214126168444	0.48563852300931115	0.9806721896701053	0.9810541082184097	0.9369808252521176	310.0	651.0	39.0	
160000	true	n	.01	0.017808159651846237	0.4891026565088998	0.4935692849161739	0.9821918403485076	0.9821674184535613	0.9483561136055682	321.0	658.0	21.0	
170000	true	n	.01	0.023094771681451548	0.4906093218327887	0.48203336454391443	0.9769052283189464	0.9799284070309191	0.941830958869178	306.0	675.0	19.0	
180000	true	n	.01	0.01612679257680325	0.4861738821391022	0.49403379477427745	0.9838732074234349	0.9771904063936725	0.9373093615084083	286.0	700.0	14.0	
190000	true	n	.01	0.028320845149442227	0.48872159783254243	0.5062042690848702	0.9716791548507361	0.9723375941000525	0.942109128190335	243.0	743.0	14.0	
200000	true	n	.01	0.022655236765101883	0.48811590249809067	0.49765296189222114	0.9773447632351432	0.9774187092006842	0.9335505789277184	225.0	763.0	12.0	
210000	true	n	.01	0.02418573989632874	0.49192591637465444	0.490517284774435	0.9758142601038894	0.9789965710241608	0.9487006676797866	210.0	774.0	16.0	
220000	true	n	.01	0.02171400112199799	0.49009863141011056	0.48095280616027647	0.9782859988783983	0.9782883388611436	0.9336130454796183	181.0	802.0	17.0	
230000	true	n	.01	0.024193657058189766	0.4910435288701464	0.5013636006030355	0.9758063429422619	0.9751037100478978	0.9372173164394078	168.0	812.0	20.0	
240000	true	n	.01	0.022103225625764795	0.4890949220764146	0.5005219798278392	0.9778967743746817	0.9804494229805741	0.947317717520748	165.0	825.0	10.0	
250000	true	n	.01	0.023096819365635752	0.48641985880709215	0.5097558614576431	0.9769031806348542	0.9743931634949278	0.9252578255743945	166.0	818.0	16.0	
260000	true	n	.01	0.02016853663277338	0.4840914155486556	0.4905816962796183	0.9798314633677637	0.9733756989079894	0.8845787160415186	162.0	829.0	9.0	
270000	true	n	.01	0.023449813102429207	0.4885414298980477	0.5059976726162452	0.9765501868980309	0.9797935284849896	0.9420787831939545	203.0	785.0	12.0	
280000	true	n	.01	0.024084023781725982	0.48894790864005305	0.49626409319009007	0.975915976218826	0.978141966158796	0.9310862132048088	183.0	797.0	20.0	
290000	true	n	.01	0.026322143964372935	0.48764090987176756	0.4958055519966266	0.9736778560362219	0.9770437375985506	0.9334255867695077	186.0	799.0	15.0	
300000	true	n	.01	0.020709419051072285	0.4884289107057976	0.4994267156750801	0.9792905809494353	0.9785845663281985	0.9365445938527709	200.0	787.0	13.0	
310000	true	n	.01	0.019793328095610328	0.48940339939014915	0.4918538082471579	0.9802066719052025	0.9779705057027985	0.9381211403944697	148.0	835.0	17.0	
320000	true	n	.01	0.02135646779886683	0.4888358265888864	0.464317604668942	0.9786435322019436	0.9783918800538249	0.9338295699392613	166.0	819.0	15.0	
330000	true	n	.01	0.031235151870950262	0.49306545357437054	0.4926465027786186	0.9687648481300152	0.9769035730859886	0.904598221000899	131.0	859.0	10.0	
340000	true	n	.01	0.022259671765461057	0.4910756086821416	0.514863620288699	0.9777403282354032	0.9811941709390507	0.8531749274602994	124.0	870.0	6.0	
350000	true	n	.01	0.03131475669731876	0.48922862636013836	0.489235272540558	0.9686852433041726	0.9768387103064572	0.911699690403976	70.0	917.0	13.0	
