% Base Parameters: Dims = 5, predfreq = .1, huntsteps = 1000, hetfreq = .1, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 3, basevig = .001, vigilance = true, vigprop = .3, indvprop = .3, mutrate = .001, fthresh = 150, stayforage = 1, foragediff = .01, localbirth = false, minlifespan = 200, lifespanrange = 0, learnalg = n, lrate = .001, 

% Test Parameters:
%learnalg = [n, r]
%lrate = [.001, .01, .1]
% 	Parameters		Results
Seed	learnalg	lrate	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	VigPredCost	IndPredCost	SocPredCost	VigForageCost	IndForageCost	SocForageCost	VigOffspring	IndOffspring	SocOffspring	VigLifespan	IndLifespan	SocLifespan	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
0	n	.001	0.5096279374029067	0.557891117967676	0.5352893141224079	0.49037206259709326	0.5605224394446685	0.5260217017231479	0.0	0.0	0.0	1.0	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.7651006711409396	1.0	1.0	1.0	
1	n	.001	0.48334669332845964	0.5115452949720894	0.41418574856641555	0.5166533066715403	0.5918691176086761	0.5239258621146038	0.0	0.0	0.0	0.0	2.0	1.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.5771812080536913	1.0	1.0	1.0	
2	n	.001	0.4634593844162056	0.5134570227641828	0.5724387498036682	0.5365406155837943	0.5788576927295199	0.5606159557276662	0.0	0.0	0.0	1.0	1.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.5503355704697986	1.0	1.0	1.0	
3	n	.001	0.5283689673902066	0.48414968498711836	0.5563702317744706	0.4716310326097935	0.455305618926945	0.6017078365403604	0.0	0.0	0.0	1.0	1.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.8657718120805369	1.0	1.0	1.0	
4	n	.001	0.4740336835710664	0.49514347430429106	0.49278569128174926	0.5259663164289335	0.49563602789576783	0.46074284143757677	0.0	0.0	0.0	0.0	1.0	3.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.5704697986577181	1.0	1.0	1.0	
5	n	.001	0.5125587525523579	0.49604532724540845	0.481429763290532	0.487441247447642	0.4335834344388863	0.46469343914890476	0.0	0.0	0.0	2.0	1.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.8456375838926175	1.0	1.0	1.0	
6	n	.001	0.5421905009246187	0.49825545371877583	0.4729162501704085	0.4578094990753814	0.6201887980571971	0.5255566239382704	0.0	0.0	0.0	3.0	1.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.436241610738255	1.0	1.0	1.0	
7	n	.001	0.5202543813916806	0.49177629885864405	0.536010717164578	0.47974561860831944	0.42120321305752007	0.44998635418696975	0.0	0.0	0.0	0.0	1.0	1.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.8187919463087249	1.0	1.0	1.0	
8	n	.001	0.5312033420572316	0.5717661914769195	0.44302987506301333	0.4687966579427682	0.5749163179556772	0.5444320261048436	0.0	0.0	0.0	0.0	0.0	1.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.6375838926174496	1.0	1.0	1.0	
9	n	.001	0.4648382813235548	0.448857658148151	0.536621770564944	0.5351617186764452	0.38612287822888663	0.44973527155823656	0.0	0.0	0.0	1.0	0.0	2.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.7516778523489933	1.0	1.0	1.0	
