% Base Parameters: Dims = 100, predfreq = .004, huntsteps = 4, hetfreq = .01, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, basevig = .001, vigilance = true, vigprop = .334, indvprop = .333, mutrate = .001, fthresh = 25, fleeforage = 0, stayforage = 1, localbirth = true, learnalg = r, lrate = .01, 

% Test Parameters:
%learnalg = [r, n, b]
% 	Parameters	Results
Timestep	learnalg	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
% [100, .004, 4, .01, 1, 0, 1, 1, 1, 2, 4, 2, 4, 2, true, 1000, .001, true, .334, .333, .001, 25, 0, 1, true, r, .01]
0	r	0.5	0.5	0.5	0.5	0.5	0.5	NaN	NaN	NaN	334.0	333.0	333.0	
1000	r	0.007561203162027826	0.49828985670411985	0.4991523296297018	0.9924387968377494	0.986305963174223	0.8684937693834283	0.162	0.162	0.82	342.0	341.0	317.0	
2000	r	0.008562166869324072	0.49773688536238275	0.49701193901858487	0.99143783312964	0.9948994298458952	0.9234747146909104	0.152	0.152	0.703	348.0	331.0	321.0	
3000	r	0.015783794743220114	0.4949377555325672	0.4974201480650572	0.9842162052549407	0.9905355408610828	0.9064930021568883	0.14766666666666667	0.14766666666666667	0.6843333333333333	359.0	320.0	321.0	
4000	r	0.016344788212001866	0.4956076608703303	0.49668545723463187	0.983655211785753	0.9891216675779712	0.8670354277482444	0.15525	0.15525	0.61	355.0	336.0	309.0	
5000	r	0.011146315892721668	0.4949046740747972	0.4968462883975634	0.9888536841046355	0.9879037910615805	0.89369526614659	0.1608	0.1608	0.5898	354.0	339.0	307.0	
6000	r	0.005815730324254147	0.49547282606874943	0.4952710141424459	0.9941842696726826	0.9926918789614478	0.922639692825794	0.15716666666666668	0.15716666666666668	0.6036666666666667	356.0	358.0	286.0	
7000	r	0.0076212513469381205	0.4959272729040946	0.49464662672423765	0.9923787486496025	0.9924203536352241	0.9167547307239237	0.1462857142857143	0.1462857142857143	0.5522857142857143	365.0	355.0	280.0	
8000	r	0.010657503476704305	0.49631773793843903	0.4965552706346507	0.9893424965192569	0.9913659356949966	0.9264803096549876	0.143625	0.143625	0.488875	372.0	356.0	272.0	
9000	r	0.012683209412367962	0.4956175661183486	0.4975902050156317	0.9873167905832853	0.9898525431321723	0.8938425826097284	0.14822222222222223	0.14822222222222223	0.4723333333333333	366.0	365.0	269.0	
10000	r	0.007114906863748109	0.49421554742812424	0.49703900178003435	0.9928850931313953	0.9888745716175197	0.9256361583735373	0.1489	0.1489	0.4968	345.0	371.0	284.0	
11000	r	0.008199951029975108	0.4943744287823303	0.49661150463855513	0.9918000489645765	0.9910034387091935	0.9317727557176047	0.14881818181818182	0.14881818181818182	0.4789090909090909	335.0	382.0	283.0	
12000	r	0.011254526637133628	0.4947776439709506	0.49540103644868205	0.9887454733570858	0.988659945447519	0.9166882718014485	0.14975	0.14975	0.49191666666666667	340.0	391.0	269.0	
13000	r	0.013001641198037199	0.4925483936001472	0.4939467064846022	0.9869983587960119	0.9797099573567304	0.9186157404355143	0.14853846153846154	0.14853846153846154	0.5176923076923077	351.0	394.0	255.0	
14000	r	0.011620009413583845	0.49182296562856515	0.4930605033154663	0.9883799905801521	0.992906734766799	0.9247246857386459	0.14757142857142858	0.14757142857142858	0.5240714285714285	360.0	390.0	250.0	
15000	r	0.003965411718203676	0.48903302767230467	0.49491499005882206	0.9960345882751448	0.9954377109147444	0.9360852678305017	0.1466	0.1466	0.547	360.0	402.0	238.0	
16000	r	0.013773993864640068	0.4903670750606476	0.4947303162679966	0.986226006128159	0.9825315572657882	0.9263585092210017	0.144375	0.144375	0.5405	360.0	402.0	238.0	
17000	r	0.008184072310427119	0.48997509422827046	0.4967942180632	0.9918159276820359	0.991636091912979	0.9313059185167962	0.14252941176470588	0.14252941176470588	0.5294705882352941	364.0	412.0	224.0	
18000	r	0.00861162025078695	0.49013912843326773	0.496346271773767	0.9913883797415319	0.9916360067704121	0.9487688662789067	0.1411111111111111	0.1411111111111111	0.5123888888888889	375.0	415.0	210.0	
19000	r	0.014925177256028524	0.4906805717837897	0.49597228642924446	0.9850748227360209	0.9816620648724922	0.9263982849030896	0.14194736842105263	0.14194736842105263	0.5016315789473684	378.0	405.0	217.0	
20000	r	0.007651104582026419	0.4896017609774627	0.4951948833287262	0.9923488954101264	0.992454777598493	0.9374850356544205	0.1435	0.1435	0.5088	395.0	388.0	217.0	
21000	r	0.009959887192938631	0.4911150887106941	0.49482629651766813	0.9900401127988221	0.9897159278648546	0.9449388977251274	0.142	0.142	0.5007619047619047	400.0	397.0	203.0	
22000	r	0.008646553917035345	0.49130382652867655	0.4930286977805975	0.9913534460745235	0.9942721267215086	0.959892598868138	0.14136363636363636	0.14136363636363636	0.4968181818181818	416.0	391.0	193.0	
23000	r	0.015590125591609568	0.4918128684596836	0.4905988828933076	0.9844098743995768	0.987485745795337	0.9575763952168378	0.1403913043478261	0.1403913043478261	0.49382608695652175	416.0	409.0	175.0	
24000	r	0.015489875403312633	0.4928593554667497	0.49109672732627285	0.9845101245870712	0.9816604050552392	0.9351844315221923	0.143	0.143	0.4870833333333333	397.0	437.0	166.0	
25000	r	0.012447294477739798	0.49468536613038955	0.49114865547482717	0.98755270551247	0.989868431663911	0.9494396263050632	0.14332	0.14332	0.47104	405.0	433.0	162.0	
26000	r	0.005741196277099366	0.49480084975072	0.4880942122262812	0.9942588037128706	0.9944496055170934	0.9611670442104933	0.14126923076923076	0.14126923076923076	0.4607307692307692	417.0	441.0	142.0	
27000	r	0.008192563615713003	0.49273158024817615	0.49142250868385157	0.9918074363736558	0.9898867376935773	0.9675776882038056	0.13955555555555554	0.13955555555555554	0.4632222222222222	414.0	460.0	126.0	
28000	r	0.0028244824271590236	0.49307940420721375	0.48919773939881855	0.9971755175617224	0.9974143213073776	0.9839631099635037	0.13742857142857143	0.13742857142857143	0.45403571428571426	410.0	473.0	117.0	
29000	r	0.004386727491015371	0.49307047977874907	0.4903421229440651	0.9956132724973955	0.9975733561256186	0.9837348122951937	0.13455172413793104	0.13455172413793104	0.44113793103448273	405.0	482.0	113.0	
30000	r	0.006053573009330189	0.4935623469476864	0.493846997694102	0.9939464269786538	0.9950331637246593	0.9648782510174185	0.1335	0.1335	0.43083333333333335	405.0	480.0	115.0	
31000	r	0.031250673595777996	0.4939849833838708	0.4932750400424784	0.9687493263922281	0.9785735228135951	0.9439321720230568	0.13380645161290322	0.13380645161290322	0.4268709677419355	415.0	466.0	119.0	
32000	r	0.010739431827239033	0.4941125133736818	0.4938677227992958	0.989260568160273	0.9923603073775157	0.9674253840700241	0.13359375	0.13359375	0.41890625	405.0	484.0	111.0	
33000	r	0.0032737115869453954	0.494243178522698	0.49335257206367295	0.9967262884002643	0.9939400081777584	0.9787313068404185	0.13224242424242424	0.13224242424242424	0.41375757575757577	406.0	486.0	108.0	
