% Base Parameters: Dims = 100, predfreq = .004, huntsteps = 4, hetfreq = .01, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, basevig = .01, vigilance = true, vigprop = .334, indvprop = .333, mutrate = .001, fthresh = 25, fleeforage = 0, stayforage = 1, localbirth = true, learnalg = r, lrate = .01, 

% Test Parameters:
%basevig = [.01, .05, .1]
%learnalg = [r, n, b]
% 	Parameters		Results
Timestep	basevig	learnalg	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
% [100, .004, 4, .01, 1, 0, 1, 1, 1, 2, 4, 2, 4, 2, true, 1000, .01, true, .334, .333, .001, 25, 0, 1, true, r, .01]
0	.01	r	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	334.0	333.0	333.0	
1000	.01	r	0.006648535784971116	0.4997822527120667	0.5000012182102681	0.9933514642147938	0.9885529498584769	0.8263488473327836	0.166	0.166	0.144	344.0	335.0	321.0	
2000	.01	r	0.006537534889848785	0.49979084429381765	0.499741625868726	0.9934624651091186	0.9900936107586872	0.854547231200518	0.145	0.145	0.073	350.0	349.0	301.0	
3000	.01	r	0.012133081086317277	0.49708058979456077	0.49795640659927376	0.9878669189117252	0.9843082345567546	0.8534173795472396	0.157	0.157	0.783	354.0	356.0	290.0	
4000	.01	r	0.012902709056752266	0.4965275708955938	0.49839516819329854	0.9870972909409041	0.9904581475497162	0.870881657005444	0.156	0.156	0.358	367.0	367.0	266.0	
5000	.01	r	0.011561031413057747	0.4953666345787643	0.4969395961975846	0.9884389685842321	0.9887804151458442	0.8754732933470485	0.167	0.167	0.407	370.0	353.0	277.0	
6000	.01	r	0.013085413152712779	0.4920500604582689	0.4972473062493346	0.9869145868441298	0.9840639427711733	0.8616723957653936	0.193	0.193	0.925	365.0	361.0	274.0	
7000	.01	r	0.006623684510141183	0.4919511644432008	0.49683964594448515	0.9933763154864019	0.9922990868712114	0.8852086737164319	0.14	0.14	0.297	380.0	355.0	265.0	
8000	.01	r	0.007506810724653357	0.4930471201578246	0.49725875937292396	0.9924931892713121	0.9908233841313127	0.8918031780314367	0.116	0.116	0.067	377.0	354.0	269.0	
9000	.01	r	0.013674584778226754	0.4933268848619434	0.49778894549878894	0.9863254152173454	0.9773902280724611	0.8854841086833158	0.11	0.11	0.15	387.0	347.0	266.0	
10000	.01	r	0.01924725074848922	0.49122160670389475	0.49821710943507747	0.9807527492467893	0.9832846380386804	0.8450046531912009	0.188	0.188	0.697	389.0	335.0	276.0	
11000	.01	r	0.014245067382604046	0.488961965834898	0.4975177640191794	0.9857549326122944	0.9867834892582985	0.8285620793421157	0.145	0.145	0.714	384.0	348.0	268.0	
12000	.01	r	0.014145749631235383	0.48971429188830873	0.4976703130698111	0.9858542503632657	0.9806802642933754	0.8302870336948516	0.16	0.16	0.548	387.0	351.0	262.0	
13000	.01	r	0.008440102287823098	0.4896623958368382	0.4977073524766786	0.9915598977065198	0.9929961153029466	0.8832761199029588	0.165	0.165	0.481	402.0	349.0	249.0	
14000	.01	r	0.020308828927232188	0.48956663586272176	0.4978832018003381	0.9796911710668728	0.9807476821431788	0.8743082055582165	0.16	0.16	0.321	415.0	340.0	245.0	
15000	.01	r	0.015756581226031748	0.4881874401604609	0.49907213986870913	0.9842434187678013	0.9889723744695172	0.8872492966203032	0.152	0.152	0.406	421.0	349.0	230.0	
16000	.01	r	0.019143311503299617	0.48669721311431946	0.497265751209164	0.980856688490348	0.9820925337325022	0.8857858740427056	0.164	0.164	0.652	436.0	348.0	216.0	
17000	.01	r	0.016046382519370524	0.4860959932627028	0.49835763941579536	0.9839536174738192	0.9897734440554832	0.8960570184722692	0.179	0.179	0.586	436.0	341.0	223.0	
18000	.01	r	0.009550994461278009	0.48574333412542375	0.4977872938495579	0.990449005531854	0.9916783223279778	0.9138125431306371	0.156	0.156	0.416	451.0	335.0	214.0	
19000	.01	r	0.007818351307594855	0.4849323890015237	0.4961828472827691	0.9921816486849693	0.9927987822002715	0.924838871441044	0.137	0.137	0.532	443.0	359.0	198.0	
20000	.01	r	0.0151563995901585	0.4867670213849988	0.49550612330691957	0.9848436004018994	0.9860259615591287	0.894444827669039	0.17	0.17	0.138	441.0	370.0	189.0	
21000	.01	r	0.011469074164774502	0.4869052421513083	0.4943912397471664	0.9885309258267123	0.9929868759606526	0.9154946502719964	0.152	0.152	0.377	438.0	368.0	194.0	
22000	.01	r	0.00868263040032802	0.4857939646991556	0.49382987395281636	0.9913173695906176	0.990236695212701	0.9100543155450521	0.173	0.173	0.498	433.0	372.0	195.0	
23000	.01	r	0.012159435244184655	0.4855263313437357	0.4943870620725174	0.9878405647469171	0.9871606293433567	0.8944816848953052	0.167	0.167	0.38	462.0	346.0	192.0	
24000	.01	r	0.014741487641761596	0.48159945555626726	0.49427463996631094	0.9852585123493022	0.9858067385407363	0.8915073059961528	0.185	0.185	0.703	480.0	332.0	188.0	
25000	.01	r	0.01686411145795641	0.4806378992197539	0.49556559732605726	0.9831358885326934	0.9828305182333259	0.9075713174960391	0.117	0.117	0.492	479.0	345.0	176.0	
26000	.01	r	0.01791100068487267	0.4843807446697524	0.49594758302081743	0.9820889993056409	0.9831650267503119	0.8907686398065775	0.187	0.187	0.388	489.0	332.0	179.0	
27000	.01	r	0.011038743985586913	0.484289995322819	0.4957719595791119	0.9889612560047656	0.9922497760957314	0.8870378310539607	0.175	0.175	0.821	498.0	331.0	171.0	
28000	.01	r	0.01628220781154259	0.485461471692329	0.4955344298345484	0.9837177921786366	0.9851977769391721	0.8860907742978803	0.127	0.127	0.263	517.0	307.0	176.0	
29000	.01	r	0.023263080780975207	0.4878398939226099	0.49442945841135416	0.9767369192085635	0.9825473245087197	0.8766354918811526	0.171	0.171	0.188	509.0	301.0	190.0	
30000	.01	r	0.012743036466473732	0.48314195975338414	0.494027717480925	0.987256963523063	0.9886615164142535	0.8904202327522511	0.145	0.145	0.707	525.0	286.0	189.0	
31000	.01	r	0.0014287300633120932	0.48475982727881745	0.4946663754186318	0.9985712699259731	0.997109858070877	0.9141885762633437	0.101	0.101	0.082	540.0	277.0	183.0	
32000	.01	r	0.005479749480184296	0.4845616678114674	0.4954025434172602	0.994520250508971	0.9852876711217347	0.9012593170290871	0.122	0.122	0.435	573.0	245.0	182.0	
33000	.01	r	0.012912806836058855	0.48769585129760684	0.4953694640804545	0.9870871931524283	0.9862261299757726	0.8614634476100802	0.134	0.134	0.263	574.0	237.0	189.0	
34000	.01	r	0.005895251849963546	0.4886661747169885	0.4952434846253739	0.9941047481383097	0.9918194691463564	0.8888980133466577	0.14	0.14	0.29	579.0	223.0	198.0	
35000	.01	r	0.03685930580071215	0.4896743064163375	0.49596296248935545	0.9631406941872483	0.9803162487250042	0.8678755634315146	0.173	0.173	0.06	582.0	218.0	200.0	
36000	.01	r	0.00898682837850809	0.4885355838603971	0.4956809954810131	0.9910131716087639	0.9957985548677	0.8899039154352766	0.137	0.137	0.185	583.0	212.0	205.0	
37000	.01	r	0.01197413439662643	0.48948865051443297	0.4978124332064875	0.9880258655902703	0.9880420024539935	0.8586180517146276	0.151	0.151	0.042	596.0	204.0	200.0	
38000	.01	r	0.023251251624599647	0.48943239380538195	0.4967579224767136	0.9767487483614616	0.9836845758476845	0.8589827396753774	0.219	0.219	0.724	590.0	211.0	199.0	
39000	.01	r	0.017566541892810338	0.4891608221479609	0.49600601931742194	0.9824334580931406	0.9851967780304914	0.8884425863234748	0.209	0.209	0.529	601.0	211.0	188.0	
