% Base Parameters: Dims = 100, predfreq = .004, huntsteps = 4, hetfreq = .01, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, basevig = 0, vigilance = true, vigprop = .334, indvprop = .333, mutrate = .001, fthresh = 25, fleeforage = 0, stayforage = 1, localbirth = true, learnalg = b, 

% Test Parameters:
% 	Results
Timestep	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
% [100, .004, 4, .01, 1, 0, 1, 1, 1, 2, 4, 2, 4, 2, true, 1000, 0, true, .334, .333, .001, 25, 0, 1, true, b]
0	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	334.0	333.0	333.0	
100	0.0	0.4969512195121951	0.4940652818991098	1.0	1.0	1.0	0.22	0.2	0.51	333.0	328.0	337.0	
200	0.0	0.47699386503067487	0.47640117994100295	1.0	1.0	1.0	0.2	0.18	1.16	331.0	326.0	339.0	
300	0.0	0.47213622291021673	0.46098265895953755	1.0	1.0	1.0	0.19	0.22	1.48	330.0	323.0	346.0	
400	0.0	0.45384615384615384	0.45203488372093026	1.0	1.0	1.0	0.15	0.16	0.94	331.0	325.0	344.0	
500	0.0	0.4430769230769231	0.4353448275862069	1.0	1.0	1.0	0.17	0.17	1.21	327.0	325.0	348.0	
600	0.0	0.4340490797546012	0.4326647564469914	1.0	1.0	0.998567335243553	0.2	0.2	0.32	325.0	326.0	349.0	
700	0.0	0.41846153846153844	0.4257142857142857	1.0	1.0	1.0	0.18	0.16	1.0	323.0	325.0	350.0	
800	0.0	0.4089506172839506	0.42613636363636365	1.0	1.0	1.0	0.2	0.2	0.4	322.0	324.0	352.0	
900	0.0	0.401840490797546	0.4041666666666667	1.0	1.0	1.0	0.27	0.28	1.9	313.0	326.0	360.0	
1000	0.0	0.3888888888888889	0.40082644628099173	1.0	1.0	1.0	0.2	0.19	0.91	311.0	324.0	363.0	
1100	0.0	0.3905775075987842	0.39779005524861877	1.0	1.0	1.0	0.17	0.19	0.65	309.0	329.0	362.0	
1200	0.0	0.3843843843843844	0.39807162534435264	1.0	1.0	1.0	0.17	0.17	0.42	304.0	333.0	363.0	
1300	0.003289473684210526	0.37727272727272726	0.40027322404371585	0.9967105263157895	1.0	1.0	0.22	0.22	0.32	304.0	330.0	366.0	
1400	0.0	0.37767584097859325	0.3972972972972973	1.0	1.0	1.0	0.2	0.19	1.22	302.0	327.0	370.0	
1500	0.0	0.37538461538461537	0.3978494623655914	1.0	1.0	1.0	0.17	0.16	0.53	301.0	325.0	372.0	
1600	0.0	0.37801204819277107	0.3915989159891599	1.0	1.0	1.0	0.23	0.24	0.15	298.0	332.0	369.0	
1700	0.0	0.37537993920972645	0.38636363636363635	1.0	1.0	1.0	0.19	0.2	0.69	297.0	329.0	374.0	
1800	0.0	0.3643292682926829	0.388	1.0	1.0	0.9986666666666667	0.18	0.18	0.75	297.0	328.0	375.0	
1900	0.0	0.36153846153846153	0.36939313984168864	1.0	0.9984615384615385	1.0	0.14	0.14	1.02	296.0	325.0	379.0	
2000	0.0	0.3591331269349845	0.3671875	1.0	1.0	1.0	0.15	0.14	0.66	292.0	323.0	384.0	
2100	0.0	0.3613707165109034	0.36726804123711343	1.0	1.0	1.0	0.16	0.16	0.42	290.0	321.0	388.0	
