% Base Parameters: Dims = 100, predfreq = .004, huntsteps = 4, hetfreq = .01, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, vigilance = true, vigprop = .333, indvprop = .333, mutrate = .001, fthresh = 25, localbirth = false, learnalg = b, lrate = .01, 

% Test Parameters:
%vigilance = [true, false]
% 	Parameters	Results
Timestep	vigilance	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	vigcount	indcount	soccount	
% [100, .004, 4, .01, 1, 0, 1, 1, 1, 2, 4, 2, 4, 2, true, 1000, true, .333, .333, .001, 25, false, b, .01]
0	true	0.5	0.5	0.5	0.5	0.5	0.5	333.0	333.0	334.0	
1000	true	0.0	0.4336569579288026	0.4393530997304582	1.0	1.0	1.0	320.0	309.0	371.0	
2000	true	0.0	0.36580882352941174	0.40930787589498807	1.0	1.0	1.0	309.0	272.0	419.0	
3000	true	0.0	0.33201581027667987	0.40461215932914046	1.0	1.0	1.0	270.0	253.0	477.0	
4000	true	0.0	0.3197424892703863	0.40654205607476634	1.0	1.0	0.9990654205607477	232.0	233.0	535.0	
5000	true	0.0	0.3287671232876712	0.41496598639455784	1.0	1.0	1.0	193.0	219.0	588.0	
6000	true	0.0	0.34196891191709844	0.42440944881889764	1.0	1.0	1.0	172.0	193.0	635.0	
7000	true	0.0	0.3489010989010989	0.4193061840120664	1.0	1.0	1.0	155.0	182.0	663.0	
8000	true	0.0	0.3699421965317919	0.42296511627906974	1.0	1.0	1.0	139.0	173.0	688.0	
9000	true	0.0	0.37575757575757573	0.4309623430962343	1.0	1.0	1.0	118.0	165.0	717.0	
10000	true	0.0	0.37333333333333335	0.43454790823211875	1.0	1.0	1.0	109.0	150.0	741.0	
11000	true	0.0	0.37755102040816324	0.43478260869565216	1.0	1.0	1.0	94.0	147.0	759.0	
12000	true	0.0	0.35294117647058826	0.42554557124518616	1.0	1.0	1.0	85.0	136.0	779.0	
13000	true	0.0	0.36923076923076925	0.41814720812182743	1.0	1.0	1.0	82.0	130.0	788.0	
14000	true	0.0	0.35546875	0.405625	1.0	1.0	1.0	72.0	128.0	800.0	
15000	true	0.0	0.3686440677966102	0.4117647058823529	1.0	1.0	1.0	66.0	118.0	816.0	
16000	true	0.0	0.35135135135135137	0.41041162227602906	1.0	1.0	1.0	63.0	111.0	826.0	
17000	true	0.0	0.37155963302752293	0.41606714628297364	1.0	1.0	1.0	57.0	109.0	834.0	
18000	true	0.0	0.3761904761904762	0.4158767772511848	1.0	1.0	1.0	51.0	105.0	844.0	
19000	true	0.0	0.36764705882352944	0.40554899645808734	1.0	1.0	0.999409681227863	51.0	102.0	847.0	
20000	true	0.0	0.37850467289719625	0.40973871733966744	1.0	1.0	1.0	51.0	107.0	842.0	
21000	true	0.0	0.38235294117647056	0.4087635054021609	1.0	1.0	1.0	48.0	119.0	833.0	
22000	true	0.0	0.3686440677966102	0.4081145584725537	1.0	1.0	1.0	44.0	118.0	838.0	
23000	true	0.0	0.3793103448275862	0.4192399049881235	1.0	1.0	1.0	42.0	116.0	842.0	
24000	true	0.0	0.3869565217391304	0.42933491686460806	1.0	1.0	1.0	43.0	115.0	842.0	
25000	true	0.0	0.38839285714285715	0.4255952380952381	1.0	1.0	0.9994047619047619	48.0	112.0	840.0	
26000	true	0.0	0.39669421487603307	0.4265232974910394	1.0	1.0	1.0	42.0	121.0	837.0	
27000	true	0.0	0.3983739837398374	0.42095808383233535	1.0	1.0	1.0	42.0	123.0	835.0	
28000	true	0.0	0.41015625	0.4335748792270531	1.0	1.0	0.9993961352657005	44.0	128.0	828.0	
29000	true	0.0	0.408	0.4390832328106152	1.0	1.0	1.0	46.0	125.0	829.0	
30000	true	0.0	0.38188976377952755	0.422289156626506	1.0	1.0	1.0	43.0	127.0	830.0	
31000	true	0.0	0.372	0.4309723889555822	1.0	1.0	1.0	42.0	125.0	833.0	
32000	true	0.0	0.376984126984127	0.4362980769230769	1.0	1.0	0.9993990384615384	42.0	126.0	832.0	
33000	true	0.0	0.375	0.43028846153846156	1.0	1.0	1.0	40.0	128.0	832.0	
34000	true	0.0	0.4	0.43689903846153844	1.0	1.0	1.0	43.0	125.0	832.0	
35000	true	0.0	0.40225563909774437	0.44014510278113667	1.0	1.0	1.0	40.0	133.0	827.0	
36000	true	0.0	0.4166666666666667	0.44926650366748166	1.0	1.0	1.0	32.0	150.0	818.0	
37000	true	0.0	0.41836734693877553	0.44981640146878826	1.0	1.0	1.0	36.0	147.0	817.0	
38000	true	0.0	0.4243421052631579	0.45226438188494494	1.0	1.0	1.0	31.0	152.0	817.0	
