% Base Parameters: Dims = 100, predfreq = .004, huntsteps = 4, hetfreq = .01, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, basevig = .001, vigilance = true, vigprop = .334, indvprop = .333, mutrate = .001, fthresh = 25, fleeforage = 0, stayforage = 1, localbirth = true, learnalg = r, lrate = .01, 

% Test Parameters:
%fleeforage = [0, .001, .01, .1, 1]
%learnalg = [r, n, b]
% Parameters		Results
fleeforage	learnalg	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
0	r	4.631518775535201E-5	0.4644715351819259	Infinity	0.9999536847822561	0.9995997977632025	Infinity	0.07090909090909091	0.07090909090909091	0.3003535353535354	379.0	621.0	0.0	
0	n	0.011154604940134764	0.47627841761840056	0.5034534478738152	0.9888453950599355	0.986870613111581	0.9545682369761866	0.1291919191919192	0.1291919191919192	0.37844444444444447	604.0	385.0	11.0	
0	b	0.0	0.0	0.721830985915493	1.0	1.0	1.0	0.05092929292929293	0.05092929292929293	0.7502727272727273	5.0	1.0	994.0	
.001	r	0.008687674187416663	0.4865540587178672	Infinity	0.9913123257718297	0.9943251438526161	-Infinity	0.11520202020202021	0.11520202020202021	0.3007575757575758	714.0	286.0	0.0	
.001	n	0.011697367195046106	0.48906634021818596	0.4972325723419409	0.9883026328053967	0.987339630701031	0.9717106624663376	0.12215151515151515	0.12215151515151515	0.3526060606060606	234.0	754.0	12.0	
.001	b	0.0	0.3333333333333333	0.742393509127789	1.0	1.0	1.0	0.052282828282828285	0.052282828282828285	0.6755656565656566	8.0	6.0	986.0	
.01	r	3.958975448820165E-13	0.4801833246065949	-Infinity	0.9999999999669184	0.9999999999998896	Infinity	0.098010101010101	0.098010101010101	0.2893737373737374	740.0	260.0	0.0	
.01	n	0.012379696328816164	0.4812656303285958	-Infinity	0.9876203036712059	0.9871899802339227	-Infinity	0.1	0.1	0.29628282828282826	570.0	430.0	0.0	
.01	b	0.0	0.22727272727272727	0.7044025157232704	1.0	1.0	1.0	0.043515151515151514	0.043515151515151514	0.35978787878787877	35.0	11.0	954.0	
.1	r	0.001428913940641416	0.48094064139371506	Infinity	0.9985710860236439	0.9986038118527888	-Infinity	0.09204040404040403	0.09204040404040403	0.2894747474747475	723.0	277.0	0.0	
.1	n	0.0189565728349897	0.48421907173052947	0.5000000000000796	0.981043427165877	0.9794548513995263	0.7458669373007474	0.1194040404040404	0.1194040404040404	0.3228080808080808	609.0	390.0	1.0	
.1	b	0.0	0.375	0.675226586102719	1.0	1.0	1.0	0.04642424242424242	0.04642424242424242	0.4557777777777778	3.0	4.0	993.0	
1	r	0.007812886211648377	0.4847833931384821	0.49420490718294346	0.9921871137871778	0.98931490936224	0.9373182717482516	0.16893939393939394	0.1689090909090909	0.5641212121212121	480.0	419.0	98.0	
1	n	0.024348092989676644	0.48036282899379557	0.49681545609346844	0.9756519070104472	0.9749021619484853	0.8362242036749136	0.18036363636363636	0.18034343434343433	0.5654848484848485	444.0	246.0	308.0	
1	b	0.0	0.10882352941176471	0.5803858520900321	1.0	1.0	1.0	0.06834343434343434	0.06834343434343434	0.3303232323232323	519.0	170.0	311.0	
