% Base Parameters: Dims = 100, predfreq = .004, huntsteps = 4, hetfreq = .01, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, basevig = 0, vigilance = true, vigprop = .334, indvprop = .333, mutrate = .001, fthresh = 25, fleeforage = 0, stayforage = 1, localbirth = true, learnalg = r, lrate = .01, 

% Test Parameters:
%learnalg = [r, n]
% 	Parameters	Results
Timestep	learnalg	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
% [100, .004, 4, .01, 1, 0, 1, 1, 1, 2, 4, 2, 4, 2, true, 1000, 0, true, .334, .333, .001, 25, 0, 1, true, r, .01]
0	r	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	334.0	333.0	333.0	
1000	r	0.012848188276602317	0.4959927590663412	0.5004029065271958	0.9871518117231479	0.9873937079922607	0.8600478728586461	0.174	0.174	0.933	344.0	340.0	316.0	
2000	r	0.010410589941652473	0.4952547158946652	0.5002994277193263	0.9895894100572132	0.9890051989775792	0.8782080411280353	0.154	0.154	0.342	322.0	358.0	320.0	
3000	r	0.017609595402224138	0.4944820245278634	0.49970960312637397	0.9823904045960672	0.9862423860763149	0.8650618691096803	0.207	0.207	0.372	333.0	361.0	306.0	
4000	r	0.014730643081334267	0.49184832768724873	0.4989902028247	0.9852693569166311	0.9832450660585386	0.9025135391121045	0.161	0.161	0.77	334.0	368.0	298.0	
5000	r	0.011589800185883034	0.4914639632285877	0.4981829740352064	0.9884101998117196	0.987279552843804	0.9231317055757382	0.175	0.175	1.0	347.0	354.0	299.0	
6000	r	0.016444754091583542	0.4922057796380799	0.4982447314928944	0.9835552459055604	0.9891192937362456	0.9160293666694821	0.148	0.148	0.182	347.0	355.0	298.0	
7000	r	0.00819834808440844	0.4910969040373331	0.4973097912228087	0.9918016519124733	0.9925431819973932	0.9159696400839851	0.19	0.19	0.76	356.0	355.0	289.0	
8000	r	0.008590063512491978	0.49101728085986374	0.4983771227987819	0.9914099364838656	0.9826204369138158	0.9171778581898866	0.168	0.168	0.33	343.0	372.0	285.0	
9000	r	0.008467593896525457	0.490704527576755	0.49872157668648054	0.9915324060993103	0.9929794237694946	0.91846804580859	0.125	0.125	0.266	330.0	383.0	287.0	
10000	r	0.006952457707923602	0.489617768867583	0.49713919736287926	0.9930475422874462	0.9908993410280517	0.9292166579784816	0.108	0.108	0.493	336.0	396.0	268.0	
11000	r	0.008909108303080285	0.4907080079056238	0.49700191378714964	0.9910908916919368	0.9963224237623834	0.9551209093619216	0.071	0.071	0.087	345.0	387.0	268.0	
12000	r	0.004457269757064783	0.4906126068258732	0.497231666224587	0.9955427302376442	0.993809893678132	0.947612781555326	0.113	0.113	0.515	351.0	404.0	245.0	
13000	r	0.016446159678859446	0.49179808168446615	0.49681621313171276	0.9835538403154908	0.9834018260961741	0.9258617719955012	0.143	0.143	0.065	352.0	416.0	232.0	
14000	r	0.009086851448970368	0.4911791564747428	0.49693044284581306	0.9909131485451045	0.9831834134028418	0.9265120551727579	0.16	0.16	0.411	360.0	417.0	223.0	
15000	r	0.014011804296775154	0.490926620333282	0.4959371958868868	0.9859881956970377	0.9855207780640027	0.9226963165909857	0.154	0.154	0.552	364.0	426.0	210.0	
16000	r	0.014193326219880292	0.48630482082501164	0.4952988849968851	0.9858066737739329	0.9840997308409051	0.9354419710634416	0.166	0.166	1.193	382.0	423.0	195.0	
17000	r	0.012734837212493246	0.48678743398911367	0.49700997041628403	0.9872651627814181	0.9909258239184742	0.9504021821152945	0.208	0.208	0.308	410.0	398.0	192.0	
18000	r	0.005839469349862365	0.48592323680109073	0.49683492724869327	0.9941605306434994	0.9982203223217843	0.9729285621590908	0.113	0.113	0.402	419.0	392.0	189.0	
19000	r	0.009229744285508297	0.486266135469426	0.49643450299427094	0.9907702557072329	0.9933000500943684	0.92622968089233	0.115	0.115	0.247	419.0	392.0	189.0	
20000	r	0.014482910777147504	0.48817330380303015	0.4959536584892776	0.9855170892154665	0.9866756349979825	0.9165766433218012	0.125	0.125	0.146	435.0	391.0	174.0	
21000	r	0.006388223211740817	0.4860600800901963	0.49669968225764993	0.9936117767804784	0.9924926396619173	0.9432813070586641	0.142	0.142	0.802	427.0	409.0	164.0	
22000	r	0.018900090061803345	0.4877138837676868	0.4942954861565589	0.9810999099301904	0.9767021884071939	0.9142429812858455	0.143	0.143	0.26	434.0	404.0	162.0	
23000	r	0.0185247801727552	0.48646880677003174	0.4958955228679793	0.9814752198188914	0.9826220235839562	0.9422065322305431	0.158	0.158	0.509	442.0	399.0	159.0	
24000	r	0.008053039733169712	0.4875381118317917	0.4964787290902863	0.9919469602581071	0.9908634208866491	0.9719171756785212	0.113	0.113	0.086	438.0	402.0	160.0	
25000	r	0.023050350480662816	0.48826391962637555	0.4953209481754662	0.9769496495099375	0.9774265121429722	0.912286291833217	0.156	0.156	0.444	434.0	407.0	159.0	
26000	r	0.015266605678829466	0.4877242032058037	0.49555938085216256	0.98473339431125	0.9794584318868769	0.92293055881657	0.15	0.15	0.441	422.0	419.0	159.0	
27000	r	0.005140161897677714	0.488948214854605	0.49417110577220996	0.99485983809248	0.9962862846096103	0.9707429172491422	0.111	0.111	0.222	439.0	416.0	145.0	
28000	r	0.017181131308547995	0.4904465703488365	0.4940641100278697	0.9828188686810727	0.975986055476389	0.8851239785864093	0.145	0.145	0.201	443.0	415.0	142.0	
29000	r	0.009128414854851049	0.490174463233675	0.4937872063725372	0.9908715851343167	0.9936877544066485	0.9604466803837575	0.076	0.076	0.183	441.0	421.0	138.0	
30000	r	0.006863750135630543	0.4879123346777423	0.49151692585872375	0.9931362498532401	0.9865655999364791	0.9580971111403321	0.064	0.064	0.5	442.0	425.0	133.0	
31000	r	0.009981739645759486	0.48873536545603347	0.49162085255581106	0.9900182603425662	0.996954756038657	0.9600231773152068	0.135	0.135	0.382	444.0	426.0	130.0	
32000	r	0.002010732745724668	0.4890021648366116	0.49104841942325106	0.9979892672424446	0.9994633396550456	0.9816603778024766	0.04	0.04	0.009	450.0	428.0	122.0	
33000	r	0.00191723136690979	0.4896499444935822	0.49271342146064945	0.9980827686207938	0.9992430241203962	0.9849458808880176	0.021	0.021	0.0	453.0	429.0	118.0	
34000	r	0.01681879983056514	0.4914428868303977	0.4986039502846053	0.9831812001576591	0.9745706366954187	0.8881975609685641	0.233	0.233	0.467	483.0	396.0	121.0	
35000	r	0.015299798714463233	0.49246787520244495	0.499864051434496	0.9847002012744228	0.9824589503390173	0.9240895643405287	0.132	0.132	0.196	520.0	372.0	108.0	
36000	r	0.04867713450084462	0.4927425853493956	0.49859269536060474	0.9513228654877046	0.9720440850755602	0.8954443421215204	0.178	0.178	0.18	511.0	378.0	111.0	
37000	r	0.012701170430521533	0.48926434802301294	0.49218127513544074	0.9872988295577755	0.9941105854011348	0.9613293826350154	0.148	0.148	1.055	512.0	383.0	105.0	
38000	r	0.0023921502158719974	0.49137168749886273	0.4918939106586635	0.9976078497720865	0.9960097879821013	0.9639452638543029	0.114	0.114	0.116	507.0	392.0	101.0	
39000	r	0.027586658966409397	0.4890475401245376	0.49188853479214106	0.9724133410211007	0.9837761887339664	0.932403963858976	0.164	0.164	0.828	503.0	402.0	95.0	
40000	r	0.02290335967774638	0.4868641817955571	0.4933207845118156	0.9770966403081679	0.9776423426199975	0.9542038950079694	0.166	0.166	0.781	461.0	436.0	103.0	
41000	r	0.03347085411627167	0.4871885388244454	0.4916970887398937	0.9665291458697705	0.9645095789871763	0.9395864956052623	0.212	0.212	0.531	472.0	428.0	100.0	
