% Base Parameters: Dims = 100, predfreq = .004, huntsteps = 4, hetfreq = .01, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, basevig = .001, vigilance = true, vigprop = .334, indvprop = .333, mutrate = .001, fthresh = 25, fleeforage = 0, stayforage = .1, localbirth = true, learnalg = r, lrate = .01, 

% Test Parameters:
%stayforage = [.1, .5, .9]
%learnalg = [r, n, b]
% 	Parameters		Results
Timestep	stayforage	learnalg	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
% [100, .004, 4, .01, 1, 0, 1, 1, 1, 2, 4, 2, 4, 2, true, 1000, .001, true, .334, .333, .001, 25, 0, .1, true, r, .01]
0	.1	r	0.5	0.5	0.5	0.5	0.5	0.5	NaN	NaN	NaN	334.0	333.0	333.0	
1000	.1	r	0.012295395705643494	0.49692006576670544	0.4996885230272369	0.9877046042942269	0.9833002942165153	0.8534945011118573	0.19	0.19	0.715	341.0	349.0	310.0	
2000	.1	r	0.016199222379259696	0.4951706087314903	0.49923477918031134	0.9838007776204236	0.981278392531272	0.8806746419337829	0.1965	0.1965	0.671	341.0	366.0	293.0	
3000	.1	r	0.01738755997689129	0.4934805237453867	0.49756573359255146	0.9826124400224748	0.9849279562167664	0.8707243205345763	0.19533333333333333	0.19533333333333333	0.6746666666666666	343.0	373.0	284.0	
4000	.1	r	0.017647503568233552	0.49226475387493424	0.4972804489047826	0.9823524964308686	0.9867586087416499	0.8959974590016323	0.19525	0.19525	0.6595	332.0	383.0	285.0	
5000	.1	r	0.011797733217929993	0.4899873248741418	0.49619073212877174	0.9882022667809234	0.981241232811534	0.8951014893826942	0.19	0.1898	0.682	324.0	389.0	286.0	
6000	.1	r	0.016556539582089948	0.49024156390438134	0.4970811571722165	0.9834434604164576	0.9860550096728159	0.9072873050300229	0.193	0.19283333333333333	0.731	327.0	395.0	277.0	
7000	.1	r	0.014506273104152673	0.4890357431272326	0.4963922280901421	0.9854937268942897	0.9873578389652026	0.8932162263032163	0.19271428571428573	0.19271428571428573	0.7395714285714285	351.0	388.0	261.0	
8000	.1	r	0.01629724108574162	0.4861201566218389	0.4963774379422434	0.9837027589123661	0.9826891581251945	0.8869168080290387	0.193	0.193	0.75575	341.0	396.0	263.0	
9000	.1	r	0.011683540900862698	0.48625816212508827	0.4954084447061379	0.9883164590970052	0.9902908230081003	0.9032304802477794	0.19211111111111112	0.19211111111111112	0.746	347.0	399.0	254.0	
10000	.1	r	0.014858619722304867	0.48691960444234306	0.49467149265673427	0.9851413802753431	0.9798353824446057	0.9105943857793226	0.1914	0.1914	0.7138	357.0	397.0	246.0	
11000	.1	r	0.0171721725693408	0.48796057490557687	0.49578137762918145	0.9828278274281316	0.9792661043549539	0.906412445483836	0.1910909090909091	0.1910909090909091	0.6771818181818182	360.0	398.0	242.0	
12000	.1	r	0.01575440572599099	0.4873128881864262	0.49547940402634677	0.9842455942712444	0.9897634644232145	0.9258243854053554	0.19116666666666668	0.19116666666666668	0.6878333333333333	359.0	416.0	225.0	
13000	.1	r	0.012708706497256975	0.4868063125277996	0.49427106548368227	0.9872912934997797	0.9896125866023092	0.9380716713496456	0.1900769230769231	0.1900769230769231	0.6853846153846154	370.0	413.0	217.0	
14000	.1	r	0.01193313659354666	0.4854039515756577	0.4948640577708664	0.9880668634032391	0.9847884609823999	0.9249508459508832	0.19042857142857142	0.19042857142857142	0.6912857142857143	374.0	419.0	207.0	
15000	.1	r	0.012752110242784479	0.48563265773179387	0.4944513785970568	0.98724788975374	0.9868675281111451	0.9320593451862638	0.18933333333333333	0.18933333333333333	0.6902666666666667	381.0	434.0	185.0	
16000	.1	r	0.014680328060718255	0.4850502978995344	0.49515429381378245	0.9853196719356448	0.9857395804530986	0.9316618774571113	0.19025	0.19025	0.69025	396.0	440.0	164.0	
17000	.1	r	0.008080706963390078	0.48442043872312296	0.4945692560353176	0.9919192930330007	0.98844295934121	0.9433233437710237	0.19	0.19	0.6831764705882353	415.0	428.0	157.0	
18000	.1	r	0.015090130710092159	0.48598376730230736	0.4967593706238455	0.9849098692859672	0.9875257370703865	0.9427470317536196	0.18883333333333333	0.18883333333333333	0.6581111111111111	410.0	442.0	148.0	
